"Drug","09-24-2020"
"hydroxychloroquine",5032
"remdesivir",278
"ivermectin",168
"chloroquine",151
"glycine",138
"azithromycin",106
"favipiravir",72
"fentanyl",50
"famotidine",47
"dexamethasone",37
"chlorine dioxide",34
"quercetin",31
"cetirizine",24
"doxycycline",24
"thalidomide",24
"ibuprofen",20
"quinine",18
"thiamine",18
"naloxone",17
"lopinavir",16
"hydrocortisone",14
"ketamine",14
"squalene",14
"aviptadil",12
"metformin",11
"bradykinin",9
"potassium",9
"ritonavir",9
"anidulafungin",8
"caspofungin",8
"fluconazole",8
"micafungin",8
"risperidone",8
"voriconazole",8
"talopram",7
"glutathione",6
"ribavirin",6
"bromhexine",5
"cannabidiol",5
"cilastatin",5
"glyphosate",5
"hydroquinone",5
"penicillin",5
"resveratrol",5
"ambroxol",4
"baricitinib",4
"ciprofloxacin",4
"curcumin",4
"dopamine",4
"methadone",4
"nicotinamide",4
"prednisone",4
"ropivacaine",4
"s-23",4
"umifenovir",4
"amodiaquine",3
"budesonide",3
"carbamazepine",3
"codeine",3
"cysteine",3
"ifenprodil",3
"lidocaine",3
"naproxen",3
"phenobarbital",3
"phenytoin",3
"plinabulin",3
"primidone",3
"rifampicin",3
"rifapentine",3
"artemisinin",2
"calcifediol",2
"ceftriaxone",2
"chlorhexidine",2
"dolutegravir",2
"flucytosine",2
"formaldehyde",2
"galidesivir",2
"manganese",2
"niclosamide",2
"niobium",2
"potassium chloride",2
"prednisolone",2
"thymol",2
"acetaminophen",1
"adenosine",1
"amphetamine",1
"benzonatate",1
"bucillamine",1
"carbamide peroxide",1
"carvedilol",1
"cefuroxime",1
"cesium",1
"ciclesonide",1
"clozapine",1
"colchicine",1
"danazol",1
"dantrolene",1
"dextromethorphan",1
"diclofenac",1
"disulfiram",1
"ertugliflozin",1
"flavone",1
"fostamatinib",1
"fructose",1
"gabapentin",1
"gossypol",1
"hydrocodone",1
"icatibant",1
"indomethacin",1
"iniparib",1
"inositol",1
"ivabradine",1
"kaolin",1
"kava",1
"levocetirizine",1
"levodopa",1
"lofepramine",1
"luteolin",1
"mannose",1
"masitinib",1
"methotrexate",1
"methylprednisolone",1
"metoprolol",1
"mometasone",1
"niacin",1
"nitrite",1
"novobiocin",1
"olaparib",1
"oleandrin",1
"omeprazole",1
"oxycodone",1
"oxymetazoline",1
"palbociclib",1
"paraoxon",1
"phenol",1
"phosphorus",1
"praziquantel",1
"progesterone",1
"ranitidine",1
"rosiglitazone",1
"ruxolitinib",1
"salbutamol",1
"semaglutide",1
"sitagliptin",1
"spironolactone",1
"stanozolol",1
"tamoxifen",1
"taurine",1
"tetracycline",1
"toluene",1
"tryptophan",1
"veliparib",1
"warfarin",1
"xylose",1
