"Drug","03-23-2022"
"ivermectin",728
"fentanyl",184
"remdesivir",176
"hydroxychloroquine",67
"ibuprofen",33
"aviptadil",30
"codeine",27
"dexamethasone",27
"quercetin",26
"cyclobenzaprine",22
"prednisone",21
"thalidomide",20
"vincristine",20
"midazolam",15
"niacin",15
"bucillamine",14
"sulforaphane",11
"budesonide",9
"dopamine",8
"fluvoxamine",7
"ritonavir",7
"baricitinib",6
"chloroquine",6
"colchicine",6
"azithromycin",5
"doxycycline",5
"favipiravir",5
"maraviroc",5
"sarilumab",5
"acetylcysteine",4
"luteolin",4
"methadone",4
"methotrexate",4
"potassium",4
"aldosterone",3
"amoxicillin",3
"artemisinin",3
"chlorine dioxide",3
"ephedrine",3
"fluoxetine",3
"glyphosate",3
"ketamine",3
"lopinavir",3
"s-23",3
"tempol",3
"tromethamine",3
"calcium ascorbate",2
"cefuroxime",2
"curcumin",2
"estradiol",2
"fructose",2
"glutathione",2
"kava",2
"losartan",2
"metformin",2
"oseltamivir",2
"oxycodone",2
"penicillin",2
"phosphorus",2
"thiamine",2
"tryptophan",2
"vancomycin",2
"1,2,4-triazole",1
"acetaminophen",1
"acyclovir",1
"angiotensin ii",1
"apomorphine",1
"biotin",1
"buspirone",1
"calcifediol",1
"cannabidiol",1
"cobalamin",1
"creatine",1
"cysteine",1
"dextromethorphan",1
"diazepam",1
"diphenhydramine",1
"erdosteine",1
"famotidine",1
"fenofibrate",1
"finasteride",1
"fingolimod",1
"formaldehyde",1
"fostamatinib",1
"gabapentin",1
"glycine",1
"hesperidin",1
"hydroxyzine",1
"hypericin",1
"indole",1
"inositol",1
"inulin",1
"lansoprazole",1
"leronlimab",1
"loratadine",1
"malic",1
"megestrol",1
"megestrol acetate",1
"metoprolol",1
"naltrexone",1
"nitrite",1
"nitroglycerin",1
"omeprazole",1
"potassium chloride",1
"pravastatin",1
"prima1",1
"progesterone",1
"proline",1
"promethazine",1
"quinine",1
"ribose",1
"rivaroxaban",1
"rosuvastatin",1
"rupatadine",1
"salbutamol",1
"sertraline",1
"talopram",1
"thymol",1
"ticagrelor",1
"trehalose",1
"up5",1
"vanadium",1
"venetoclax",1
"warfarin",1
"withaferin-a",1
"zonisamide",1
