"Drug","08-24-2022"
"hydroxychloroquine",1147
"ivermectin",400
"fentanyl",77
"metformin",50
"fluvoxamine",40
"cetylpyridinium",37
"tecovirimat",29
"chloroquine",28
"quercetin",21
"dopamine",18
"ibuprofen",18
"phenytoin",16
"midazolam",14
"niacin",14
"prednisone",11
"ritonavir",10
"dexamethasone",8
"ketamine",8
"baricitinib",7
"berberine",7
"proline",7
"disulfiram",6
"gadolinium",6
"tacrolimus",6
"thalidomide",6
"ivabradine",5
"acetaminophen",4
"doxycycline",4
"maraviroc",4
"azithromycin",3
"dobutamine",3
"fisetin",3
"fluoxetine",3
"ibrutinib",3
"imatinib",3
"s-23",3
"threonine",3
"tryptophan",3
"angiotensin ii",2
"cabozantinib",2
"chlorine dioxide",2
"clopidogrel",2
"famotidine",2
"gabapentin",2
"glutathione",2
"kava",2
"levetiracetam",2
"naproxen",2
"nicotinamide",2
"nitazoxanide",2
"nitrous oxide",2
"pantoprazole",2
"propofol",2
"propranolol",2
"spironolactone",2
"taurine",2
"triethylene glycol",2
"vincristine",2
"adenosine",1
"amantadine",1
"amiodarone",1
"apixaban",1
"artemisinin",1
"brincidofovir",1
"bucillamine",1
"budesonide",1
"bupivacaine",1
"buprenorphine",1
"cannabidiol",1
"ceftriaxone",1
"colchicine",1
"creatine",1
"curcumin",1
"dextromethorphan",1
"donepezil",1
"fexofenadine",1
"glyphosate",1
"guaifenesin",1
"inulin",1
"lorlatinib",1
"magnesium oxide",1
"mebendazole",1
"meldonium",1
"memantine",1
"metoprolol",1
"montelukast",1
"naltrexone",1
"olaparib",1
"paliperidone",1
"piracetam",1
"prednisolone",1
"pregabalin",1
"quinine",1
"resveratrol",1
"scopolamine",1
"spermidine",1
"squalene",1
"thiamine",1
"thimerosal",1
"trazodone",1
"trehalose",1
"urea",1
"uridine",1
"valaciclovir",1
"vortioxetine",1
"warfarin",1
