"Drug","06-09-2021"
"ivermectin",2294
"hydroxychloroquine",1740
"chloroquine",993
"remdesivir",263
"fluvoxamine",119
"midazolam",108
"calcifediol",99
"fisetin",98
"amphotericin b",79
"favipiravir",62
"tamoxifen",48
"dexamethasone",46
"budesonide",38
"quercetin",36
"doxycycline",33
"metformin",31
"rivaroxaban",31
"ibuprofen",26
"niacin",25
"leronlimab",23
"fentanyl",21
"thalidomide",21
"tempol",17
"arginine",16
"milrinone",16
"baricitinib",13
"ebastine",11
"bucillamine",10
"methotrexate",10
"thiamine",10
"quinine",9
"azithromycin",8
"chlorine dioxide",8
"naloxone",8
"niclosamide",8
"posaconazole",8
"aviptadil",7
"buprenorphine",7
"penicillin",6
"amantadine",5
"colchicine",5
"cysteine",5
"glutathione",5
"pentamidine",5
"potassium",5
"ritonavir",5
"uridine",5
"ambroxol",4
"camostat",4
"estradiol",4
"hypochlorous",4
"lopinavir",4
"methylprednisolone",4
"cabotegravir",3
"dapivirine",3
"diethylstilbestrol",3
"k-134",3
"methadone",3
"mmda",3
"plitidepsin",3
"prednisone",3
"resveratrol",3
"salbutamol",3
"sarilumab",3
"urea",3
"ampreloxetine",2
"anandamide",2
"atropine",2
"bromhexine",2
"cannabidiol",2
"capsaicin",2
"codeine",2
"creatinine",2
"curcumin",2
"cyproheptadine",2
"datp",2
"digoxin",2
"docetaxel",2
"famotidine",2
"formaldehyde",2
"imiquimod",2
"kava",2
"levodopa",2
"talopram",2
"vincristine",2
"2-deoxyglucose",1
"acetaminophen",1
"adenine",1
"albendazole",1
"amitriptyline",1
"apixaban",1
"artesunate",1
"atorvastatin",1
"avatrombopag",1
"bradykinin",1
"cadmium",1
"caspofungin",1
"ceftriaxone",1
"chlorhexidine",1
"clofazimine",1
"cobicistat",1
"creatine",1
"darunavir",1
"domperidone",1
"etodolac",1
"etoricoxib",1
"eugenol",1
"favilavir",1
"fluconazole",1
"fluoxetine",1
"folic",1
"forskolin",1
"fructose",1
"glyphosate",1
"halothane",1
"hinokitiol",1
"histidine",1
"hydrocodone",1
"iloprost",1
"indomethacin",1
"ketamine",1
"lamotrigine",1
"letrozole",1
"lidocaine",1
"mefloquine",1
"megestrol",1
"megestrol acetate",1
"minocycline",1
"moxidectin",1
"naringenin",1
"nicorandil",1
"nifuroxazide",1
"nimesulide",1
"nitazoxanide",1
"omeprazole",1
"oxycodone",1
"palbociclib",1
"phosphocreatine",1
"piperine",1
"potassium nitrate",1
"prednisolone",1
"progesterone",1
"proline",1
"promethazine",1
"pyridoxamine",1
"pyridoxine",1
"rabeprazole",1
"rapamycin",1
"roxithromycin",1
"selinexor",1
"semaglutide",1
"spironolactone",1
"suramin",1
"tantalum",1
"threonine",1
"upamostat",1
"voriconazole",1
"warfarin",1
