"Drug","04-03-2022"
"ivermectin",1512
"remdesivir",100
"hydroxychloroquine",45
"dexamethasone",43
"fentanyl",35
"ibuprofen",26
"quercetin",26
"fluvoxamine",16
"doxycycline",12
"midazolam",11
"agomelatine",10
"azithromycin",10
"cetylpyridinium",10
"ramelteon",10
"sulforaphane",10
"ritonavir",9
"potassium",7
"calcifediol",5
"chloroquine",5
"methotrexate",5
"penicillin",5
"methadone",4
"talopram",4
"cannabidiol",3
"chlorine dioxide",3
"codeine",3
"cysteine",3
"glutathione",3
"prednisone",3
"acetaminophen",2
"baricitinib",2
"budesonide",2
"famotidine",2
"formaldehyde",2
"gadolinium",2
"inositol",2
"niacin",2
"rivaroxaban",2
"vincristine",2
"acetylcholine",1
"activated charcoal",1
"adenosine",1
"albendazole",1
"aldosterone",1
"ambroxol",1
"aspartame",1
"atenolol",1
"aviptadil",1
"benzodiazepine",1
"berberine",1
"biotin",1
"bromhexine",1
"bucillamine",1
"cadmium",1
"ceftazidime",1
"cesium",1
"cetirizine",1
"colchicine",1
"creatinine",1
"cyproheptadine",1
"dapsone",1
"dextromethorphan",1
"dobutamine",1
"dopamine",1
"estradiol",1
"ezetimibe",1
"favipiravir",1
"fluorouracil",1
"forskolin",1
"ganciclovir",1
"gc-24",1
"glycine",1
"ketamine",1
"lisinopril",1
"luteolin",1
"magnesium citrate",1
"magnesium silicate",1
"maraviroc",1
"mefloquine",1
"megestrol",1
"megestrol acetate",1
"metformin",1
"modafinil",1
"montelukast",1
"naloxone",1
"naltrexone",1
"naproxen",1
"niclosamide",1
"omeprazole",1
"phosphorus",1
"pravastatin",1
"prednisolone",1
"proline",1
"promethazine",1
"rosuvastatin",1
"sarilumab",1
"sertraline",1
"strychnine",1
"sumatriptan",1
"taurine",1
"thiamine",1
"trehalose",1
