"Drug","11-25-2022"
"ivermectin",870
"fentanyl",129
"hydroxychloroquine",97
"remdesivir",90
"midazolam",25
"antimony",23
"chloroquine",20
"niacin",18
"sofosbuvir",18
"quercetin",16
"aviptadil",15
"azithromycin",12
"doxycycline",9
"bucillamine",8
"ibuprofen",8
"thalidomide",8
"quinine",6
"penicillin",5
"dexamethasone",4
"naltrexone",4
"prednisone",4
"vancomycin",4
"amoxicillin",3
"famotidine",3
"favipiravir",3
"fluvoxamine",3
"formaldehyde",3
"glyphosate",3
"kava",3
"phosphorus",3
"potassium",3
"rhein",3
"ritonavir",3
"s-23",3
"titanium dioxide",3
"arginine",2
"baricitinib",2
"bromhexine",2
"budesonide",2
"calpeptin",2
"codeine",2
"guaifenesin",2
"hydrocortisone",2
"ketamine",2
"leronlimab",2
"naproxen",2
"proline",2
"acetaminophen",1
"acetylcholine",1
"aluminum hydroxide",1
"andrographolide",1
"angiotensin ii",1
"apixaban",1
"artemisinin",1
"aztreonam",1
"bradykinin",1
"cesium",1
"cetirizine",1
"chlorine dioxide",1
"cholecalciferol",1
"clarithromycin",1
"clopidogrel",1
"clozapine",1
"dextromethorphan",1
"ebpc",1
"emtricitabine",1
"epigallocatechin",1
"fenbendazole",1
"fisetin",1
"folic",1
"fructose",1
"glutathione",1
"glycine",1
"hypochlorous",1
"imatinib",1
"indole",1
"ivabradine",1
"levosalbutamol",1
"manganese",1
"maraviroc",1
"megestrol",1
"megestrol acetate",1
"methadone",1
"metoprolol",1
"montelukast",1
"nicotinamide",1
"nitazoxanide",1
"oxycodone",1
"phenylephrine",1
"progesterone",1
"rimantadine",1
"risperidone",1
"spermine",1
"sphingosine",1
"streptomycin",1
"sulforaphane",1
"tacrolimus",1
"tadalafil",1
"thimerosal",1
"trehalose",1
"tryptophan",1
"valganciclovir",1
"vincristine",1
