"Drug","07-19-2021"
"ivermectin",2001
"remdesivir",324
"penicillin",281
"fentanyl",275
"azithromycin",144
"hydroxychloroquine",92
"curcumin",64
"chloroquine",48
"aviptadil",42
"dexamethasone",37
"glyphosate",35
"calcifediol",31
"leronlimab",31
"quercetin",29
"niacin",28
"cholecalciferol",27
"ibuprofen",24
"nitazoxanide",22
"thalidomide",21
"creatinine",20
"midazolam",18
"tempol",18
"talopram",17
"colchicine",13
"suramin",11
"s-23",10
"tryptophan",9
"berberine",8
"etoposide",8
"glutathione",8
"plitidepsin",8
"budesonide",7
"cannabidiol",7
"favipiravir",7
"nicotinamide",7
"prednisone",7
"ritonavir",7
"escitalopram",6
"methadone",6
"methotrexate",6
"mmda",6
"quinine",6
"astaxanthin",5
"doxycycline",5
"ebselen",5
"epinephrine",5
"ketamine",5
"lopinavir",5
"potassium",5
"varenicline",5
"vincristine",5
"chlorine dioxide",4
"dopamine",4
"fluvoxamine",4
"baricitinib",3
"carnosine",3
"folic",3
"formaldehyde",3
"fructose",3
"propofol",3
"acetaminophen",2
"acetylcholine",2
"aldosterone",2
"amantadine",2
"amoxicillin",2
"artesunate",2
"beclamide",2
"buprenorphine",2
"celecoxib",2
"dapagliflozin",2
"emricasan",2
"fenbendazole",2
"fingolimod",2
"fluoxetine",2
"isavuconazole",2
"levodopa",2
"mebendazole",2
"metformin",2
"phosphorus",2
"prednisolone",2
"pyronaridine",2
"spironolactone",2
"tofacitinib",2
"voriconazole",2
"abivertinib",1
"acetylcysteine",1
"allicin",1
"ambroxol",1
"antipain",1
"arginine",1
"bucillamine",1
"camostat",1
"cetirizine",1
"choline",1
"ciclesonide",1
"cilengitide",1
"citco",1
"codeine",1
"cyclophosphamide",1
"dapsone",1
"dimethyl fumarate",1
"doxacurium",1
"duloxetine",1
"dutasteride",1
"ephedrine",1
"famotidine",1
"forskolin",1
"gabapentin",1
"gefitinib",1
"glycine",1
"hyaluronic",1
"hydroquinone",1
"hypochlorous",1
"imatinib",1
"linezolid",1
"lorazepam",1
"lovastatin",1
"magnesium sulfate",1
"maraviroc",1
"meloxicam",1
"methylprednisolone",1
"methylprednisone",1
"montelukast",1
"n-chlorotaurine",1
"niclosamide",1
"nitrous oxide",1
"nitrous-oxide",1
"piperine",1
"progesterone",1
"proline",1
"resveratrol",1
"ribose",1
"rocuronium",1
"sarilumab",1
"squalene",1
"strychnine",1
"sumatriptan",1
"tacrolimus",1
"titanium dioxide",1
"topotecan",1
"tramadol",1
"trifluperidol",1
"tyrosine",1
"ubiquinol",1
"vancomycin",1
"venetoclax",1
"warfarin",1
