"Drug","06-20-2022"
"ivermectin",442
"fentanyl",113
"hydroxychloroquine",66
"quercetin",57
"ibuprofen",20
"ritonavir",20
"chloroquine",15
"midazolam",11
"amitriptyline",10
"fluvoxamine",9
"dopamine",8
"tryptophan",7
"berberine",6
"prednisone",6
"thalidomide",6
"dexamethasone",5
"azithromycin",4
"benzonatate",4
"chlorhexidine",4
"clioquinol",4
"doxycycline",4
"famotidine",4
"lidocaine",4
"minoxidil",4
"codeine",3
"glutathione",3
"ketamine",3
"maraviroc",3
"metformin",3
"methylphenidate",3
"naringenin",3
"prostaglandin d2",3
"tromethamine",3
"vincristine",3
"amoxicillin",2
"azelastine",2
"glipizide",2
"montelukast",2
"naltrexone",2
"nystatin",2
"progesterone",2
"rutin",2
"s-23",2
"acyclovir",1
"amlodipine",1
"amphetamine",1
"atorvastatin",1
"biotin",1
"calcifediol",1
"choline",1
"ciclesonide",1
"ciprofloxacin",1
"citalopram",1
"diazepam",1
"fructose",1
"imatinib",1
"ipratropium",1
"lamotrigine",1
"manganese",1
"megestrol acetate",1
"methadone",1
"methylprednisolone",1
"misoprostol",1
"naloxone",1
"niclosamide",1
"nicotinamide",1
"pantoprazole",1
"phenol",1
"pioglitazone",1
"prednisolone",1
"pregabalin",1
"primaquine",1
"quinine",1
"ranitidine",1
"tetracycline",1
