"Drug","10-18-2022"
"fentanyl",1894
"ivermectin",373
"naltrexone",131
"hydroxychloroquine",71
"ibuprofen",20
"fluvoxamine",14
"glyphosate",12
"dexamethasone",11
"ritonavir",10
"baricitinib",8
"colchicine",8
"thalidomide",7
"midazolam",5
"niacin",5
"prednisone",5
"bucillamine",4
"budesonide",4
"choline",4
"glutathione",4
"ketamine",4
"amantadine",3
"amphetamine",3
"chloroquine",3
"chlorpheniramine",3
"levodopa",3
"methotrexate",3
"acetaminophen",2
"amoxicillin",2
"gabapentin",2
"imatinib",2
"manganese",2
"phenytoin",2
"thiamine",2
"urea",2
"adenosine",1
"aldosterone",1
"apixaban",1
"arsenic trioxide",1
"artesunate",1
"azithromycin",1
"bpc-157",1
"bumetanide",1
"buprenorphine",1
"calcifediol",1
"cannabidiol",1
"cefdinir",1
"clonazepam",1
"codeine",1
"creatine",1
"crocin",1
"curcumin",1
"cyclosporine",1
"diethylstilbestrol",1
"diphenhydramine",1
"dopamine",1
"estradiol",1
"formoterol",1
"gadolinium",1
"gentamicin",1
"hydroxyzine",1
"lidocaine",1
"lisinopril",1
"megestrol acetate",1
"memantine",1
"metformin",1
"methylprednisolone",1
"naproxen",1
"nicotinamide",1
"oseltamivir",1
"pelitinib",1
"probenecid",1
"progesterone",1
"promethazine",1
"quercetin",1
"quinine",1
"sertraline",1
"spironolactone",1
"suramin",1
"talopram",1
"tetrahydropyran",1
"thimerosal",1
"tromethamine",1
"warfarin",1
"zeaxanthin",1
