"Drug","04-04-2022"
"ivermectin",1154
"rutin",57
"hydroxychloroquine",56
"fentanyl",39
"celecoxib",23
"fluvoxamine",22
"ibuprofen",22
"famciclovir",16
"ritonavir",13
"midazolam",11
"niacin",11
"methotrexate",10
"dexamethasone",9
"glutathione",9
"ketamine",8
"thiamine",8
"metformin",6
"vincristine",5
"chloroquine",4
"prednisone",4
"up5",4
"arginine",3
"azithromycin",3
"codeine",3
"cysteine",3
"dopamine",3
"doxycycline",3
"methadone",3
"quinine",3
"adenosine",2
"biotin",2
"choline",2
"clozapine",2
"diazepam",2
"famotidine",2
"gentamicin",2
"guanosine",2
"meropenem",2
"naltrexone",2
"naproxen",2
"omeprazole",2
"pseudoephedrine",2
"ramelteon",2
"tacrolimus",2
"acetaminophen",1
"adenine",1
"amoxicillin",1
"atorvastatin",1
"atropine",1
"carvedilol",1
"cerivastatin",1
"cholecalciferol",1
"clonidine",1
"creatine",1
"cysteamine",1
"dantrolene",1
"epinephrine",1
"estradiol",1
"gabapentin",1
"glycine",1
"kava",1
"lopinavir",1
"lutein",1
"megestrol acetate",1
"methionine",1
"midodrine",1
"montelukast",1
"nitazoxanide",1
"orphenadrine",1
"oseltamivir",1
"ranolazine",1
"resveratrol",1
"riboflavin",1
"salbutamol",1
"spironolactone",1
"taurine",1
"thalidomide",1
"tramadol",1
"uridine",1
