"Drug","2020-04-04"
"hydroxychloroquine",819
"chloroquine",325
"azithromycin",287
"ivermectin",240
"ribavirin",119
"ibuprofen",69
"remdesivir",34
"favipiravir",26
"doxycycline",17
"quinine",17
"leronlimab",16
"fentanyl",14
"losartan",14
"naloxone",13
"ritonavir",11
"lopinavir",10
"methadone",9
"quercetin",8
"acetaminophen",7
"oseltamivir",7
"papaverine",7
"histamine",6
"prednisone",6
"amoxicillin",5
"methotrexate",5
"astaxanthin",4
"carbon dioxide",4
"ciprofloxacin",4
"loperamide",4
"metformin",4
"nitric oxide",4
"tradipitant",4
"albendazole",3
"berberine",3
"camphor",3
"ketamine",3
"nicotinamide",3
"penicillin",3
"potassium",3
"resveratrol",3
"umifenovir",3
"vonoprazan",3
"actemra",2
"cafedrine",2
"clozapine",2
"colchicine",2
"danoprevir",2
"dantrolene",2
"formaldehyde",2
"glyphosate",2
"ibrutinib",2
"indomethacin",2
"mefloquine",2
"naproxen",2
"prednisolone",2
"propofol",2
"ropivacaine",2
"thalidomide",2
"vanadium",2
"acetazolamide",1
"acyclovir",1
"aldosterone",1
"allicin",1
"apn01",1
"artesunate",1
"ascorbic acid",1
"ascorbic-acid",1
"benzodiazepine",1
"benzoyl peroxide",1
"bortezomib",1
"camostat",1
"chlorhexidine",1
"clarithromycin",1
"creatine",1
"curcumin",1
"cyclosporine",1
"cysteine",1
"detomidine",1
"dexamethasone",1
"dopamine",1
"eosin",1
"epinephrine",1
"epirubicin",1
"epoprostenol",1
"estradiol",1
"famotidine",1
"fexofenadine",1
"fusafungine",1
"galidesivir",1
"glucosamine",1
"glutathione",1
"hydroquinone",1
"iodide",1
"lauric acid",1
"levodopa",1
"levodropropizine",1
"lisinopril",1
"lorazepam",1
"manganese",1
"mebendazol",1
"mebendazole",1
"metamizole",1
"methylene blue",1
"mifepristone",1
"n3",1
"namn",1
"nitazoxanide",1
"pancuronium",1
"phenol",1
"phentermine",1
"pimecrolimus",1
"pirfenidone",1
"primaquine",1
"procaine",1
"pyrazinamide",1
"raloxifene",1
"rapamycin",1
"remifentanil",1
"rhein",1
"rocuronium",1
"spironolactone",1
"streptomycin",1
"sulfasalazine",1
"tenofovir",1
"theobromine",1
"tramadol",1
"ursodeoxycholic",1
"vancomycin",1
"vincristine",1
"zolmitriptan",1
