"Drug","03-18-2021"
"ivermectin",2196
"clofazimine",340
"bromhexine",296
"hydroxychloroquine",265
"chloroquine",61
"leronlimab",50
"fentanyl",41
"dexamethasone",38
"azithromycin",37
"remdesivir",36
"famotidine",32
"cetirizine",29
"chlorhexidine",26
"ibuprofen",21
"quercetin",21
"ketamine",20
"diclofenac",18
"fluvoxamine",15
"cannabidiol",14
"niacin",14
"progesterone",14
"glutathione",12
"budesonide",10
"inosine",10
"potassium",10
"metformin",9
"nitazoxanide",9
"penicillin",9
"plinabulin",9
"cisplatin",8
"colchicine",8
"talopram",8
"epigallocatechin",7
"prednisone",7
"ruxolitinib",7
"s-23",6
"thalidomide",6
"apabetalone",5
"baricitinib",5
"chlorine dioxide",5
"doxycycline",5
"warfarin",5
"acetaminophen",4
"cysteine",4
"favipiravir",4
"angiotensin 1-7",3
"crocin",3
"curcumin",3
"dopamine",3
"estradiol",3
"glyphosate",3
"methylprednisolone",3
"mirin",3
"niclosamide",3
"quinine",3
"amantadine",2
"calcifediol",2
"clarithromycin",2
"creatinine",2
"enzalutamide",2
"etoricoxib",2
"fluoxetine",2
"hyaluronic",2
"levodopa",2
"methadone",2
"methotrexate",2
"mifepristone",2
"mmda",2
"montelukast",2
"n-chlorotaurine",2
"phenobarbital",2
"plitidepsin",2
"siltuximab",2
"sodium chlorite",2
"urapidil",2
"albendazole",1
"allicin",1
"amitriptyline",1
"amoxicillin",1
"amphetamine",1
"antipain",1
"apalutamide",1
"apixaban",1
"arginine",1
"astaxanthin",1
"atorvastatin",1
"atracurium",1
"aviptadil",1
"bradykinin",1
"bucillamine",1
"camostat",1
"capsaicin",1
"chlorpromazine",1
"choline",1
"ciclesonide",1
"clioquinol",1
"codeine",1
"dantrolene",1
"dapivirine",1
"diphenhydramine",1
"eravacycline",1
"erythromycin",1
"formaldehyde",1
"fostamatinib",1
"fructose",1
"gabapentin",1
"guanine",1
"ibrutinib",1
"lopinavir",1
"lorazepam",1
"methimazole",1
"nafamostat",1
"neodymium",1
"nifuroxazide",1
"niobium",1
"oleandrin",1
"perampanel",1
"pg-9",1
"phthalocyanine",1
"piperacillin",1
"prednisolone",1
"ramipril",1
"riboflavin",1
"risperidone",1
"ritonavir",1
"sarilumab",1
"selinexor",1
"sertraline",1
"sitagliptin",1
"squalene",1
"sulfamethoxazole",1
"tazobactam",1
"terbinafine",1
"theophylline",1
"thiamine",1
"trimethoprim",1
"urea",1
"vincristine",1
