"Drug","08-13-2020"
"hydroxychloroquine",25974
"remdesivir",786
"chlorine dioxide",477
"ivermectin",434
"chloroquine",362
"quercetin",243
"azithromycin",193
"dexamethasone",120
"ibuprofen",85
"prednisone",75
"doxycycline",64
"favipiravir",57
"fentanyl",57
"hydrocortisone",44
"budesonide",41
"methadone",25
"quinine",25
"rocuronium",17
"sodium chlorite",17
"tafenoquine",14
"telmisartan",14
"curcumin",13
"naloxone",13
"acetylcysteine",12
"colchicine",12
"ifenprodil",12
"s-23",11
"acetaminophen",10
"bradykinin",9
"methylprednisolone",9
"ribavirin",8
"thalidomide",8
"chlorthalidone",7
"icatibant",7
"lopinavir",7
"mmda",7
"penicillin",7
"vincristine",7
"abivertinib",6
"doramectin",6
"glutathione",6
"hesperidin",6
"ketamine",6
"ritonavir",6
"artesunate",5
"cannabidiol",5
"crocin",5
"formaldehyde",5
"pyronaridine",5
"resveratrol",5
"sulforaphane",5
"ambroxol",4
"codeine",4
"dadle",4
"famotidine",4
"niclosamide",4
"potassium",4
"ruxolitinib",4
"amiodarone",3
"artemisinin",3
"baricitinib",3
"berberine",3
"bromhexine",3
"ciprofloxacin",3
"ec-18",3
"merimepodib",3
"metformin",3
"methotrexate",3
"naproxen",3
"oseltamivir",3
"saquinavir",3
"thiamine",3
"urea",3
"acetylcholine",2
"aldosterone",2
"apilimod",2
"astaxanthin",2
"biotin",2
"buprenorphine",2
"cadmium",2
"chromium",2
"cimetidine",2
"daclatasvir",2
"diphenhydramine",2
"dopamine",2
"gliclazide",2
"glyphosate",2
"iodide",2
"l-lysine",2
"levofloxacin",2
"losartan",2
"losmapimod",2
"maraviroc",2
"memantine",2
"metocurine",2
"nafamostat",2
"omeprazole",2
"oxymetazoline",2
"propofol",2
"riboflavin",2
"salbutamol",2
"talopram",2
"tenofovir",2
"valinomycin",2
"venetoclax",2
"adenosine",1
"aliskiren",1
"angiotensin ii",1
"aspartame",1
"atenolol",1
"atovaquone",1
"aviptadil",1
"beclometasone",1
"bucillamine",1
"camostat",1
"cannabinol",1
"captopril",1
"cefiderocol",1
"ceftriaxone",1
"chloroxylenol",1
"ciclesonide",1
"creatinine",1
"dantrolene",1
"dapagliflozin",1
"diclofenac",1
"diosmin",1
"dipyridamole",1
"disulfiram",1
"emetine",1
"emodin",1
"epinephrine",1
"erythromycin",1
"flutamide",1
"fluticasone",1
"fostamatinib",1
"fructose",1
"gabapentin",1
"galidesivir",1
"glycine",1
"guanosine",1
"hydromorphone",1
"ibrutinib",1
"lansoprazole",1
"luteolin",1
"magnesium oxide",1
"manganese",1
"megestrol",1
"megestrol acetate",1
"mifepristone",1
"mometasone",1
"naltrexone",1
"nifurtimox",1
"nitazoxanide",1
"nitrous oxide",1
"oxycodone",1
"pg-9",1
"phenylephrine",1
"pirfenidone",1
"pizotifen",1
"potassium iodide",1
"prednisolone",1
"proline",1
"prostaglandin d2",1
"quetiapine",1
"ramatroban",1
"rigosertib",1
"rizatriptan",1
"rutin",1
"saroglitazar",1
"sertraline",1
"sodium ascorbate",1
"spironolactone",1
"strychnine",1
"thimerosal",1
"triclosan",1
"valine",1
"vanadium",1
