"Drug","04-19-2022"
"ivermectin",851
"fentanyl",83
"hydroxychloroquine",58
"quercetin",35
"fluvoxamine",29
"niacin",22
"aviptadil",21
"prednisone",20
"ritonavir",15
"naloxone",14
"dexamethasone",12
"acetylcholine",11
"methadone",11
"chloroquine",10
"degarelix",9
"ibuprofen",9
"naltrexone",9
"azithromycin",8
"thalidomide",8
"midazolam",7
"teriflunomide",7
"aniline",6
"clopidogrel",6
"doxycycline",6
"maraviroc",5
"talopram",5
"colchicine",4
"glyphosate",4
"pseudoephedrine",4
"vincristine",4
"alanine",3
"beta-alanine",3
"budesonide",3
"gabapentin",3
"spironolactone",3
"thiamine",3
"acyclovir",2
"amitriptyline",2
"amoxicillin",2
"biotin",2
"bromhexine",2
"capsaicin",2
"codeine",2
"diclofenac",2
"dolutegravir",2
"dopamine",2
"etravirine",2
"fingolimod",2
"glutathione",2
"glycine",2
"ketotifen",2
"metformin",2
"naproxen",2
"niclosamide",2
"rivaroxaban",2
"warfarin",2
"acetaminophen",1
"acetylcysteine",1
"aldosterone",1
"allopurinol",1
"ambroxol",1
"amphetamine",1
"apigenin",1
"arginine",1
"astaxanthin",1
"avasimibe",1
"berberine",1
"bisoprolol",1
"calcitriol",1
"camphor",1
"clozapine",1
"cysteine",1
"diazepam",1
"emtricitabine",1
"epigallocatechin",1
"famotidine",1
"fexofenadine",1
"finasteride",1
"fluoxetine",1
"fructose",1
"hydroxocobalamin",1
"hydroxyzine",1
"ibrutinib",1
"ketamine",1
"loratadine",1
"megestrol acetate",1
"methotrexate",1
"methylcobalamin",1
"methylprednisolone",1
"montelukast",1
"nicotinamide",1
"nitazoxanide",1
"norepinephrine",1
"omeprazole",1
"oseltamivir",1
"permethrin",1
"phenylephrine",1
"propofol",1
"propranolol",1
"resveratrol",1
"s-23",1
"simvastatin",1
"sumatriptan",1
"suramin",1
"tacrolimus",1
"tramadol",1
"tromethamine",1
"up5",1
"zopiclone",1
