Drug,4/2/2020
chloroquine,867
hydroxychloroquine,243
ibuprofen,180
azithromycin,129
ritonavir,72
losartan,60
remdesivir,54
acetaminophen,50
artesunate,40
methadone,36
lopinavir,30
favipiravir,26
fentanyl,26
quinine,26
colchicine,24
ivermectin,24
naproxen,16
prednisone,16
doxycycline,12
ibrutinib,12
mefloquine,12
penicillin,12
tramadol,12
vincristine,12
calcium,10
dopamine,10
magnesium,10
nitazoxanide,10
pirfenidone,10
thalidomide,10
asiatic,8
bucillamine,8
ciclesonide,8
codeine,8
erythromycin,8
ranitidine,8
tamoxifen,8
nitrogen,7
carbon-monoxide,6
chlorhexidine,6
hypochlorite,6
isopropyl-alcohol,6
lidocaine,6
methotrexate,6
neca,6
propofol,6
urea,6
camostat,4
chloramphenicol,4
clozapine,4
cortisone,4
disulfiram,4
ephedrine,4
epinephrine,4
fluticasone,4
hydrocortisone,4
ketamine,4
meloxicam,4
nifedipine,4
nitrous,4
nystatin,4
obaa,4
potassium,4
prednisolone,4
progesterone,4
remifentanil,4
resveratrol,4
ribavirin,4
sodium-bicarbonate,4
verdinexor,4
warfarin,4
niacin,3
ruxolitinib,3
acetazolamide,2
acyclovir,2
adenosine,2
alanine,2
aldosterone,2
alpha-pinene,2
aluminium,2
amphetamine,2
astaxanthin,2
benzoin,2
binimetinib,2
borneol,2
bupivacaine,2
cannabigerol,2
capsaicin,2
carfentanil,2
"carfentanil,-c-11",2
carvedilol,2
clavulanic,2
cobalt,2
creatinine,2
dantrolene,2
diamorphine,2
diclofenac,2
dolutegravir,2
enalapril,2
encorafenib,2
ethyl-pyruvate,2
folic,2
gadolinium,2
guaifenesin,2
hyaluronic,2
hydromorphone,2
hydroquinone,2
hypochlorous,2
ifenprodil,2
kaempferol,2
kava,2
levamisole,2
levodopa,2
levofloxacin,2
lycopene,2
malic,2
mannose,2
midazolam,2
nadide,2
neodymium,2
nitrous-oxide,2
odq,2
omeprazole,2
permethrin,2
piperine,2
promethazine,2
psicose,2
rose-bengal,2
salbutamol,2
talopram,2
theophylline,2
thiamine,2
tranilast,2
ursodeoxycholic,2
vanadium,2
vancomycin,2
