"Drug","10-07-2022"
"ivermectin",902
"hydroxychloroquine",171
"fentanyl",113
"aprepitant",50
"cetylpyridinium",31
"bucillamine",23
"dexamethasone",23
"ritonavir",20
"midazolam",19
"ibuprofen",16
"quercetin",12
"astaxanthin",10
"methadone",8
"buprenorphine",7
"ketamine",7
"ketotifen",7
"venetoclax",6
"angiotensin ii",5
"baricitinib",5
"dopamine",5
"chloroquine",4
"doxycycline",4
"fluvoxamine",4
"l-lysine",4
"niacin",4
"prednisone",4
"budesonide",3
"glyphosate",3
"tramadol",3
"acetaminophen",2
"amoxicillin",2
"famotidine",2
"fructose",2
"hydrocodone",2
"hydrocortisone",2
"maraviroc",2
"mirtazapine",2
"naltrexone",2
"pregnenolone",2
"talopram",2
"thalidomide",2
"tofacitinib",2
"acetylcholine",1
"acetylcysteine",1
"aldosterone",1
"almitrine",1
"amitriptyline",1
"amlodipine",1
"arginine",1
"azithromycin",1
"boron",1
"clarithromycin",1
"codeine",1
"creatine",1
"curcumin",1
"cyclosporine",1
"cysteine",1
"desmopressin",1
"diamorphine",1
"diclofenac",1
"eltrombopag",1
"fluoxetine",1
"formaldehyde",1
"gadolinium",1
"glutathione",1
"guanine",1
"haloperidol",1
"hydroxyproline",1
"imatinib",1
"indomethacin",1
"ivabradine",1
"kava",1
"lidocaine",1
"lopinavir",1
"megestrol acetate",1
"metformin",1
"modafinil",1
"montelukast",1
"naloxone",1
"nitroglycerin",1
"piracetam",1
"plitidepsin",1
"potassium iodide",1
"pravastatin",1
"prednisolone",1
"progesterone",1
"promethazine",1
"quinine",1
"ramipril",1
"rofecoxib",1
"s-23",1
"taurine",1
"tryptophan",1
"zidovudine",1
