"Drug","03-16-2022"
"ivermectin",699
"mannose",116
"remdesivir",61
"hydroxychloroquine",56
"thalidomide",55
"fentanyl",54
"sulfasalazine",30
"baricitinib",17
"losartan",16
"fluvoxamine",12
"ibuprofen",12
"enzalutamide",11
"azithromycin",10
"leronlimab",10
"niacin",10
"quercetin",10
"curcumin",9
"methadone",8
"methotrexate",8
"talopram",8
"doxycycline",7
"favipiravir",7
"ritonavir",7
"dexamethasone",6
"bucillamine",5
"buprenorphine",5
"colchicine",5
"midazolam",5
"potassium",5
"prednisone",5
"vincristine",5
"arginine",4
"budesonide",4
"famotidine",4
"glyphosate",4
"montelukast",4
"penicillin",4
"pterostilbene",4
"quinine",4
"varespladib",4
"chloroquine",3
"nafamostat",3
"titanium dioxide",3
"vancomycin",3
"acetaminophen",2
"amoxicillin",2
"chlorine dioxide",2
"citalopram",2
"cysteine",2
"dopamine",2
"epoprostenol",2
"estradiol",2
"estradiol valerate",2
"estradiol-valerate",2
"glutathione",2
"maraviroc",2
"metformin",2
"mmda",2
"naltrexone",2
"pravastatin",2
"progesterone",2
"sertraline",2
"taurine",2
"tempol",2
"acetylcholine",1
"aldosterone",1
"apigenin",1
"benzydamine",1
"bromhexine",1
"calcifediol",1
"camphor",1
"cannabidiol",1
"ceftriaxone",1
"cetylpyridinium",1
"cholecalciferol",1
"ciclesonide",1
"codeine",1
"dasatinib",1
"diltiazem",1
"dutasteride",1
"empagliflozin",1
"eugenol",1
"fluoxetine",1
"gadolinium",1
"glycine",1
"hydrocortisone",1
"iodide",1
"isotretinoin",1
"ketamine",1
"manganese",1
"megestrol",1
"megestrol acetate",1
"memantine",1
"mirin",1
"nitazoxanide",1
"nitrous oxide",1
"nitrous-oxide",1
"oxycodone",1
"prednisolone",1
"pregabalin",1
"prima1",1
"proline",1
"risdiplam",1
"salbutamol",1
"thiamine",1
"trehalose",1
"tyrosine",1
"urea",1
"vanadium",1
"voxelotor",1
