"Drug","04-10-2021"
"remdesivir",4830
"fentanyl",2248
"ivermectin",2111
"budesonide",418
"hydroxychloroquine",212
"leronlimab",127
"niacin",49
"fluvoxamine",46
"citalopram",45
"actemra",41
"ibuprofen",36
"estradiol",27
"quercetin",26
"methadone",22
"selamectin",22
"doramectin",20
"estradiol benzoate",20
"estradiol-benzoate",20
"chloroquine",19
"azithromycin",16
"favipiravir",16
"thalidomide",15
"niclosamide",14
"montelukast",13
"dexamethasone",12
"riboflavin",12
"baricitinib",10
"mmda",10
"doxycycline",9
"hydroxyzine",9
"penicillin",9
"etoricoxib",8
"levodopa",8
"bromhexine",7
"ruxolitinib",7
"chlorine dioxide",6
"colchicine",6
"methylprednisolone",6
"nitazoxanide",6
"acetaminophen",5
"ambroxol",5
"berberine",5
"ivabradine",5
"potassium",5
"tryptophan",5
"cysteine",4
"fructose",4
"methotrexate",4
"quinine",4
"sulforaphane",4
"amantadine",3
"bradykinin",3
"camostat",3
"glyphosate",3
"hydrocortisone",3
"hypochlorous",3
"mefloquine",3
"naloxone",3
"ponatinib",3
"pterostilbene",3
"pyronaridine",3
"s-23",3
"spironolactone",3
"acyclovir",2
"am-630",2
"amoxicillin",2
"angiotensin ii",2
"astaxanthin",2
"calcifediol",2
"camphor",2
"curcumin",2
"dopamine",2
"famotidine",2
"formaldehyde",2
"ketamine",2
"loperamide",2
"loratadine",2
"pantoprazole",2
"prednisone",2
"resveratrol",2
"sertraline",2
"talopram",2
"urea",2
"adenosine",1
"alanine",1
"aldosterone",1
"amphetamine",1
"anandamide",1
"anastrozole",1
"antipain",1
"arginine",1
"artemisinin",1
"aviptadil",1
"benzoyl peroxide",1
"bucillamine",1
"cadmium",1
"catechin",1
"cefepime",1
"chlorhexidine",1
"chromium",1
"clofazimine",1
"codeine",1
"cotinine",1
"creatine",1
"creatinine",1
"cyclosporine",1
"cyproheptadine",1
"donepezil",1
"erythromycin",1
"fingolimod",1
"genistein",1
"hyaluronic",1
"ifenprodil",1
"inosine",1
"isoniazid",1
"kava",1
"lidocaine",1
"lorazepam",1
"megestrol",1
"megestrol acetate",1
"metformin",1
"metronidazole",1
"moxidectin",1
"nafamostat",1
"naproxen",1
"nicotinamide",1
"nitrous oxide",1
"nitrous-oxide",1
"norepinephrine",1
"oseltamivir",1
"oxymetazoline",1
"phosphorus",1
"pioglitazone",1
"proline",1
"propofol",1
"quetiapine",1
"raloxifene",1
"retinol",1
"rhapontin",1
"salbutamol",1
"selinexor",1
"sildenafil",1
"squalene",1
"thimerosal",1
"vancomycin",1
"vincristine",1
"warfarin",1
"zanubrutinib",1
