"Drug","07-31-2022"
"ivermectin",1321
"fentanyl",238
"hydroxychloroquine",112
"midazolam",44
"ibuprofen",37
"quercetin",36
"dexamethasone",12
"glyphosate",12
"niacin",11
"ritonavir",11
"prednisone",10
"azithromycin",9
"famotidine",9
"fluvoxamine",8
"glutathione",7
"olanzapine",7
"allopurinol",6
"amitriptyline",6
"dopamine",6
"memantine",6
"resveratrol",6
"taurine",6
"biotin",5
"chloroquine",5
"gabapentin",5
"ketamine",5
"metformin",5
"methadone",5
"thalidomide",5
"arginine",4
"cholecalciferol",4
"doxycycline",4
"tryptophan",4
"vincristine",4
"xanthine",4
"colchicine",3
"amphetamine",2
"apixaban",2
"budesonide",2
"cetirizine",2
"clonazepam",2
"codeine",2
"epinephrine",2
"estradiol",2
"mirtazapine",2
"naproxen",2
"quetiapine",2
"theophylline",2
"warfarin",2
"aniline",1
"atorvastatin",1
"aviptadil",1
"carbamazepine",1
"chlorhexidine",1
"clopidogrel",1
"clozapine",1
"creatine",1
"cyclobenzaprine",1
"cysteamine",1
"cysteine",1
"diazepam",1
"diphenhydramine",1
"febuxostat",1
"fluoxetine",1
"fructose",1
"glycine",1
"hydromorphone",1
"hydroxyurea",1
"hymecromone",1
"imatinib",1
"indomethacin",1
"kava",1
"ketotifen",1
"levothyroxine",1
"lidocaine",1
"losartan",1
"maraviroc",1
"metaraminol",1
"methionine",1
"methotrexate",1
"methylprednisolone",1
"metoprolol",1
"naltrexone",1
"phenylalanine",1
"pravastatin",1
"propofol",1
"pyridoxine",1
"riboflavin",1
"s-23",1
"scopolamine",1
"spironolactone",1
"thiamine",1
"tizanidine",1
"topotecan",1
"tramadol",1
"tyrosine",1
