"Drug","12-30-2022"
"ivermectin",7567
"hydroxychloroquine",1652
"fentanyl",200
"aviptadil",198
"metformin",89
"ibuprofen",70
"quercetin",67
"fluvoxamine",51
"midazolam",37
"amoxicillin",36
"curcumin",36
"erythromycin",35
"chloroquine",29
"ritonavir",25
"niacin",19
"guanfacine",16
"azithromycin",15
"dexamethasone",14
"acyclovir",13
"prednisone",10
"acetaminophen",9
"famotidine",9
"glyphosate",8
"lopinavir",8
"baricitinib",7
"methylphenidate",7
"naloxone",7
"thalidomide",7
"budesonide",6
"doxycycline",6
"amlodipine",5
"aspartame",5
"chlorine dioxide",5
"glutathione",5
"ketamine",5
"bucillamine",4
"cysteine",4
"diphenhydramine",4
"lorazepam",4
"pyridoxine",4
"thiamine",4
"azelastine",3
"berberine",3
"clofoctol",3
"codeine",3
"methadone",3
"pyrithione",3
"quinine",3
"talopram",3
"amantadine",2
"ambrisentan",2
"artemisinin",2
"camphor",2
"dopamine",2
"favipiravir",2
"fenofibrate",2
"fructose",2
"ganetespib",2
"haloperidol",2
"hydrocodone",2
"oleandrin",2
"oseltamivir",2
"retapamulin",2
"tyrosine",2
"verteporfin",2
"acetazolamide",1
"acetylcysteine",1
"antimony",1
"apixaban",1
"aprepitant",1
"artesunate",1
"biotin",1
"brivudine",1
"bromhexine",1
"cetylpyridinium",1
"chlorhexidine",1
"chlorpheniramine",1
"clemastine",1
"creatine",1
"cyanocobalamin",1
"epinephrine",1
"eucalyptol",1
"fexofenadine",1
"gabapentin",1
"gadolinium",1
"gentamicin",1
"hesperidin",1
"hydrocortisone",1
"hydroxyzine",1
"lamotrigine",1
"leucine",1
"maraviroc",1
"meropenem",1
"methotrexate",1
"metoclopramide",1
"metoprolol",1
"mmda",1
"montelukast",1
"naproxen",1
"nicotinamide",1
"nitrous oxide",1
"norepinephrine",1
"piperine",1
"prednisolone",1
"propofol",1
"spironolactone",1
"sulbactam",1
"suramin",1
"thimerosal",1
"titanium dioxide",1
"trehalose",1
"triptorelin",1
"tromethamine",1
"tryptophan",1
"vincristine",1
