"Drug","02-07-2022"
"ivermectin",2604
"fentanyl",303
"remdesivir",229
"hydroxychloroquine",185
"oleandrin",140
"quercetin",75
"glutathione",43
"azithromycin",37
"chromium",32
"ryanodine",26
"tempol",21
"dexamethasone",19
"niacin",19
"baricitinib",16
"cannabidiol",16
"fluvoxamine",15
"budesonide",13
"thalidomide",13
"chloroquine",12
"cysteine",11
"midazolam",10
"prednisone",9
"vincristine",9
"colchicine",8
"doxycycline",8
"chlorine dioxide",7
"artemisinin",6
"famotidine",6
"mmda",6
"penicillin",5
"acetaminophen",4
"aviptadil",4
"calcifediol",4
"dopamine",4
"ketamine",4
"leronlimab",4
"ondansetron",4
"potassium",4
"actemra",3
"cyproheptadine",3
"hyaluronic",3
"methadone",3
"naloxone",3
"naltrexone",3
"oxycodone",3
"oxymetazoline",3
"quinine",3
"resveratrol",3
"ritonavir",3
"sertraline",3
"amantadine",2
"artesunate",2
"benzonatate",2
"bucillamine",2
"buprenorphine",2
"bupropion",2
"cetylpyridinium",2
"codeine",2
"curcumin",2
"favipiravir",2
"fostamatinib",2
"guaifenesin",2
"ipratropium",2
"magnesium sulfate",2
"metformin",2
"methotrexate",2
"proline",2
"riboflavin",2
"s-23",2
"salbutamol",2
"suramin",2
"warfarin",2
"acetylcholine",1
"acetylcysteine",1
"acyclovir",1
"alanine",1
"aldosterone",1
"amoxicillin",1
"atorvastatin",1
"atovaquone",1
"azathioprine",1
"berberine",1
"capsaicin",1
"cefdinir",1
"cefepime",1
"ceftazidime",1
"cetirizine",1
"clofoctol",1
"clozapine",1
"creatinine",1
"cyclophosphamide",1
"diazepam",1
"disulfiram",1
"empagliflozin",1
"ephedrine",1
"epinephrine",1
"erdosteine",1
"folic",1
"formaldehyde",1
"forskolin",1
"fructose",1
"galactose",1
"hydroxyzine",1
"icosapent",1
"icosapent ethyl",1
"l-glutamine",1
"l-lysine",1
"levodopa",1
"lidocaine",1
"lisinopril",1
"loratadine",1
"losartan",1
"magnesium citrate",1
"mannose",1
"megestrol",1
"megestrol acetate",1
"memantine",1
"metoprolol",1
"milrinone",1
"minoxidil",1
"mirin",1
"nicotinamide",1
"omeprazole",1
"pg-9",1
"potassium chloride",1
"propofol",1
"rapamycin",1
"rivaroxaban",1
"rosuvastatin",1
"rutin",1
"sitagliptin",1
"spironolactone",1
"squalene",1
"stannous fluoride",1
"talopram",1
"thiamine",1
"tofacitinib",1
"trehalose",1
"ubiquinol",1
"uracil",1
"urea",1
"valganciclovir",1
"zopiclone",1
