"Drug","07-01-2021"
"ivermectin",4888
"hydroxychloroquine",466
"codeine",222
"remdesivir",112
"dexamethasone",37
"baricitinib",36
"midazolam",35
"fentanyl",31
"niacin",31
"varenicline",26
"quercetin",23
"berberine",21
"clofoctol",18
"mefloquine",17
"leronlimab",16
"azithromycin",13
"quinine",13
"amphotericin b",12
"isavuconazole",12
"ibuprofen",11
"ertugliflozin",10
"fluvoxamine",10
"fingolimod",9
"chlorine dioxide",8
"riboflavin",8
"talopram",8
"tempol",8
"thalidomide",8
"vincristine",7
"chloroquine",6
"dopamine",6
"penicillin",6
"curcumin",5
"cysteine",5
"doxycycline",5
"levodopa",5
"mmda",5
"suramin",5
"tenofovir",5
"tryptophan",5
"vanadium",5
"actemra",4
"calcifediol",4
"favipiravir",4
"fostamatinib",4
"kava",4
"oseltamivir",4
"thiamine",4
"acetylcholine",3
"ambroxol",3
"artesunate",3
"bromhexine",3
"budesonide",3
"cannabidiol",3
"estradiol",3
"glutathione",3
"methylprednisolone",3
"montelukast",3
"naproxen",3
"omeprazole",3
"potassium",3
"pyronaridine",3
"aviptadil",2
"calcitriol",2
"cholecalciferol",2
"ciclesonide",2
"dapagliflozin",2
"diazepam",2
"donepezil",2
"etoposide",2
"glyphosate",2
"imatinib",2
"lopinavir",2
"metformin",2
"naloxone",2
"nicotinamide",2
"posaconazole",2
"prednisone",2
"propofol",2
"rivaroxaban",2
"s-23",2
"tadalafil",2
"tofacitinib",2
"warfarin",2
"albendazole",1
"almitrine",1
"aluminum hydroxide",1
"amlodipine",1
"amoxicillin",1
"antipain",1
"aspartame",1
"avoralstat",1
"azathioprine",1
"baclofen",1
"benzylpenicillin",1
"camostat",1
"camphor",1
"cannabinol",1
"cesium",1
"chlorpheniramine",1
"clarithromycin",1
"clopidogrel",1
"colchicine",1
"cyclophosphamide",1
"edasalonexent",1
"enzalutamide",1
"esomeprazole",1
"fexinidazole",1
"glycine",1
"hydrocodone",1
"hypochlorous",1
"iodide",1
"leukotriene b4",1
"loratadine",1
"megestrol",1
"megestrol acetate",1
"merimepodib",1
"metamizole",1
"metaraminol",1
"mk-2206",1
"mometasone",1
"mometasone furoate",1
"niclosamide",1
"nitazoxanide",1
"ondansetron",1
"p-1075",1
"pantoprazole",1
"potassium iodide",1
"pravastatin",1
"progesterone",1
"proguanil",1
"promethazine",1
"rabeprazole",1
"rifampicin",1
"ritonavir",1
"sarilumab",1
"sofosbuvir",1
"squalene",1
"sulfasalazine",1
"tacrolimus",1
"topiramate",1
"urea",1
"valine",1
"velpatasvir",1
