"Drug","10-18-2021"
"ivermectin",5301
"hydroxychloroquine",389
"remdesivir",226
"curcumin",157
"azithromycin",142
"quercetin",74
"fentanyl",55
"colchicine",40
"baricitinib",37
"chloroquine",34
"lorazepam",33
"tempol",33
"dexamethasone",29
"ibuprofen",29
"fluvoxamine",22
"doxycycline",19
"arsenic trioxide",18
"budesonide",15
"propofol",14
"artemisinin",12
"niacin",11
"talopram",11
"bucillamine",9
"leronlimab",9
"sarilumab",9
"penicillin",8
"prednisone",8
"glutathione",7
"histidine",7
"rifapentine",7
"tyrosine",7
"oxycodone",6
"warfarin",6
"chlorine dioxide",5
"erythromycin",5
"folic",5
"vincristine",5
"acetaminophen",4
"amphotericin b",4
"arginine",4
"atovaquone",4
"aviptadil",4
"cysteine",4
"inulin",4
"ketamine",4
"metformin",4
"thalidomide",4
"artesunate",3
"atorvastatin",3
"bromhexine",3
"buprenorphine",3
"favipiravir",3
"methacholine",3
"mirin",3
"mmda",3
"potassium",3
"proline",3
"pyronaridine",3
"ritonavir",3
"up5",3
"ambroxol",2
"calcitriol",2
"cetylpyridinium",2
"ciclesonide",2
"cytisine",2
"estradiol",2
"fluticasone",2
"forskolin",2
"fructose",2
"lopinavir",2
"methotrexate",2
"midazolam",2
"mitoxantrone",2
"naloxone",2
"niclosamide",2
"pirfenidone",2
"potassium chloride",2
"progesterone",2
"s-23",2
"salbutamol",2
"sodium ascorbate",2
"sodium chlorite",2
"acetylcysteine",1
"acyclovir",1
"adenine",1
"alanine",1
"amoxicillin",1
"apixaban",1
"berberine",1
"biotin",1
"bradykinin",1
"calcifediol",1
"camostat",1
"camphor",1
"cannabidiol",1
"ceramide",1
"cesium",1
"cisplatin",1
"citrulline",1
"cladribine",1
"codeine",1
"creatine",1
"cyproheptadine",1
"dextromethorphan",1
"dopamine",1
"famotidine",1
"fenofibrate",1
"fludrocortisone",1
"fluoxetine",1
"fostamatinib",1
"fucose",1
"gabapentin",1
"hyaluronic",1
"kava",1
"l-lysine",1
"mefloquine",1
"megestrol",1
"megestrol acetate",1
"metoprolol",1
"naltrexone",1
"naproxen",1
"nicotinamide",1
"omeprazole",1
"plitidepsin",1
"pravastatin",1
"prednisolone",1
"proguanil",1
"quinine",1
"resveratrol",1
"scopolamine",1
"sertraline",1
"squalene",1
"suramin",1
"theanine",1
"toluene",1
"triamcinolone",1
"tryptophan",1
"ubiquinol",1
"urea",1
"valine",1
"vinorelbine",1
"zopiclone",1
