"Drug","11-22-2022"
"ivermectin",1952
"hydroxychloroquine",654
"remdesivir",405
"fentanyl",178
"fluvoxamine",100
"quercetin",50
"naltrexone",29
"chloroquine",21
"ritonavir",18
"baricitinib",17
"bucillamine",16
"midazolam",14
"fenbendazole",13
"amoxicillin",12
"naloxone",12
"thalidomide",12
"ceramide",11
"famotidine",11
"niacin",11
"azithromycin",10
"ibuprofen",10
"penicillin",8
"rivaroxaban",8
"metformin",7
"acetaminophen",5
"ketamine",5
"potassium",5
"prednisolone",5
"cetylpyridinium",4
"prednisone",4
"acetylcholine",3
"chlorine dioxide",3
"colchicine",3
"dopamine",3
"inositol",3
"lidocaine",3
"methotrexate",3
"aspartame",2
"codeine",2
"gabapentin",2
"glutathione",2
"glyphosate",2
"hinokitiol",2
"iodide",2
"leronlimab",2
"niclosamide",2
"omeprazole",2
"potassium iodide",2
"progesterone",2
"quinine",2
"s-23",2
"sofosbuvir",2
"talopram",2
"tryptophan",2
"vincristine",2
"almitrine",1
"angiotensin ii",1
"apixaban",1
"artemisinin",1
"azelastine",1
"benzodiazepine",1
"berberine",1
"bromhexine",1
"budesonide",1
"cadmium",1
"ceftriaxone",1
"cetirizine",1
"chlorhexidine",1
"clemastine",1
"clopidogrel",1
"creatine",1
"cysteine",1
"dexamethasone",1
"doxycycline",1
"ebpc",1
"empagliflozin",1
"ephedrine",1
"favipiravir",1
"folic",1
"formaldehyde",1
"imatinib",1
"inulin",1
"kaolin",1
"ledipasvir",1
"losartan",1
"maraviroc",1
"methadone",1
"ml-9",1
"montelukast",1
"nitazoxanide",1
"potassium chloride",1
"pseudoephedrine",1
"ranitidine",1
"rapamycin",1
"resveratrol",1
"rhein",1
"ribavirin",1
"ronnel",1
"semaglutide",1
"sertraline",1
"tadalafil",1
"telmisartan",1
"tenofovir",1
"titanium dioxide",1
"trehalose",1
"ubiquinol",1
"verteporfin",1
