"Drug","11-13-2022"
"ivermectin",459
"midazolam",283
"remdesivir",218
"sildenafil",128
"fentanyl",51
"hydroxychloroquine",34
"candesartan",14
"thalidomide",9
"ibuprofen",8
"ketamine",8
"niacin",8
"pirfenidone",8
"potassium",8
"glyphosate",7
"prednisone",6
"quercetin",6
"dopamine",5
"riboflavin",5
"ritonavir",5
"thiamine",5
"acetaminophen",4
"calcifediol",4
"chloroquine",4
"curcumin",4
"dexamethasone",4
"epinephrine",4
"famotidine",4
"s-23",4
"titanium dioxide",4
"apixaban",3
"azelastine",3
"azithromycin",3
"budesonide",3
"buprenorphine",3
"diltiazem",3
"metformin",3
"naloxone",3
"naltrexone",3
"penicillin",3
"pravastatin",3
"amoxicillin",2
"baricitinib",2
"biotin",2
"diphenhydramine",2
"doxycycline",2
"edoxaban",2
"fluvoxamine",2
"gabapentin",2
"gentamicin",2
"glycine",2
"methylprednisolone",2
"montelukast",2
"vortioxetine",2
"acyclovir",1
"allicin",1
"amitriptyline",1
"amphetamine",1
"aripiprazole",1
"boron",1
"brexpiprazole",1
"cannabidiol",1
"cesium",1
"chlorine dioxide",1
"cinnamaldehyde",1
"clofoctol",1
"codeine",1
"colchicine",1
"cyanocobalamin",1
"diazepam",1
"folic",1
"formaldehyde",1
"glutathione",1
"hyaluronic",1
"ketotifen",1
"l-lysine",1
"levodopa",1
"levofloxacin",1
"lidocaine",1
"lisinopril",1
"luteolin",1
"manganese",1
"maraviroc",1
"methadone",1
"methotrexate",1
"methylphenidate",1
"midodrine",1
"naproxen",1
"nitazoxanide",1
"oxycodone",1
"phenibut",1
"phosphorus",1
"potassium chloride",1
"prednisolone",1
"progesterone",1
"propentofylline",1
"prostaglandin",1
"prostaglandin d2",1
"pyridoxine",1
"rivaroxaban",1
"sertraline",1
"skatole",1
"squalene",1
"suramin",1
"talopram",1
"telmisartan",1
"thimerosal",1
"trehalose",1
"tromethamine",1
"tryptophan",1
"urea",1
"uridine",1
"vericiguat",1
