"Drug","05-02-2021"
"remdesivir",4316
"ivermectin",2431
"dexamethasone",1077
"prednisone",935
"hydroxychloroquine",716
"proline",430
"arginine",269
"budesonide",210
"leronlimab",177
"favipiravir",158
"quercetin",122
"ibuprofen",96
"azithromycin",59
"fluvoxamine",50
"artesunate",40
"pyronaridine",39
"doxycycline",35
"creatinine",34
"thalidomide",34
"baricitinib",31
"fentanyl",25
"chloroquine",24
"cyproheptadine",21
"actemra",20
"niacin",20
"penicillin",19
"bradykinin",16
"methylprednisolone",14
"levodopa",10
"naproxen",10
"cysteine",9
"potassium",9
"prednisolone",9
"aviptadil",8
"ketamine",8
"metformin",8
"piroxicam",8
"chlorine dioxide",7
"methotrexate",7
"montelukast",7
"pantoprazole",7
"calcifediol",6
"camostat",6
"dopamine",6
"urea",6
"acetaminophen",5
"bromhexine",5
"cladribine",5
"ceftriaxone",4
"estradiol",4
"glutathione",4
"hydrocortisone",4
"maraviroc",4
"mmda",4
"tofacitinib",4
"compound 2",3
"curcumin",3
"cyclophosphamide",3
"diclofenac",3
"finasteride",3
"fingolimod",3
"formaldehyde",3
"indomethacin",3
"kava",3
"methadone",3
"mifepristone",3
"naloxone",3
"quinine",3
"rhein",3
"valine",3
"acetylcholine",2
"aldosterone",2
"ambroxol",2
"amiodarone",2
"antipain",2
"bendamustine",2
"camphor",2
"clindamycin",2
"crocin",2
"cytarabine",2
"dutasteride",2
"fexofenadine",2
"glyphosate",2
"histidine",2
"hydroxyzine",2
"indole",2
"masitinib",2
"nitazoxanide",2
"phosphorus",2
"propranolol",2
"rutin",2
"spironolactone",2
"tryptophan",2
"vincristine",2
"acarbose",1
"amantadine",1
"amoxicillin",1
"amphotericin b",1
"astaxanthin",1
"astemizole",1
"bafilomycin a1",1
"bucillamine",1
"calcitriol",1
"celastrol",1
"cepharanthine",1
"cetirizine",1
"ciclesonide",1
"ciprofloxacin",1
"clarithromycin",1
"clozapine",1
"codeine",1
"colchicine",1
"creatine",1
"dextroamphetamine",1
"dextromethorphan",1
"diminazene",1
"diphenhydramine",1
"doxofylline",1
"eletriptan",1
"erythromycin",1
"etoposide",1
"favilavir",1
"flutamide",1
"haloperidol",1
"hyaluronic",1
"hydromorphone",1
"levosalbutamol",1
"levothyroxine",1
"linagliptin",1
"lopinavir",1
"loratadine",1
"losartan",1
"mefloquine",1
"minoxidil",1
"mirin",1
"nabilone",1
"nafamostat",1
"nicardipine",1
"niclosamide",1
"oseltamivir",1
"pentoxifylline",1
"plitidepsin",1
"progesterone",1
"pseudoephedrine",1
"pyridostigmine",1
"pyrimethamine",1
"ramipril",1
"s-23",1
"selamectin",1
"silmitasertib",1
"sitagliptin",1
"sorbitol",1
"sulfadoxine",1
"sulfamethoxazole",1
"telmisartan",1
"teneligliptin",1
"thiamine",1
"trimethoprim",1
"upadacitinib",1
"vildagliptin",1
