"Drug","09-08-2022"
"ivermectin",1333
"hydroxychloroquine",781
"fentanyl",85
"ritonavir",49
"creatine",34
"uridine",18
"chloroquine",12
"favipiravir",12
"fluvoxamine",12
"naltrexone",12
"quercetin",12
"dexamethasone",10
"azithromycin",8
"ibuprofen",8
"tromethamine",8
"prednisone",7
"arginine",5
"apixaban",4
"baricitinib",4
"ketamine",4
"midazolam",4
"rivaroxaban",4
"vincristine",4
"formaldehyde",3
"mefloquine",3
"metformin",3
"methotrexate",3
"naloxone",3
"niacin",3
"venetoclax",3
"warfarin",3
"acetaminophen",2
"adenosine",2
"aspartame",2
"atazanavir",2
"atorvastatin",2
"boceprevir",2
"budesonide",2
"codeine",2
"curcumin",2
"fluoxetine",2
"glutathione",2
"lovastatin",2
"maraviroc",2
"mirtazapine",2
"nitazoxanide",2
"rosuvastatin",2
"simvastatin",2
"thalidomide",2
"thiamine",2
"trehalose",2
"tryptophan",2
"amitriptyline",1
"amphetamine",1
"benfotiamine",1
"bpc-157",1
"bucillamine",1
"citrulline",1
"colchicine",1
"cyproheptadine",1
"cysteine",1
"cystine",1
"dextromethorphan",1
"doxycycline",1
"escitalopram",1
"hesperidin",1
"hydrocortisone",1
"hydroquinone",1
"imatinib",1
"indomethacin",1
"ivabradine",1
"leucine",1
"lopinavir",1
"magnesium citrate",1
"metoprolol",1
"montelukast",1
"naproxen",1
"nelfinavir",1
"nitrous oxide",1
"proline",1
"resveratrol",1
"riboflavin",1
"sertraline",1
"sulthiame",1
"tadalafil",1
"talopram",1
"titanium dioxide",1
"vortioxetine",1
