"Drug","08-23-2021"
"ivermectin",17383
"dexamethasone",388
"propofol",368
"rocuronium",366
"remdesivir",216
"quercetin",124
"fluvoxamine",103
"fenofibrate",86
"thalidomide",83
"mmda",68
"niacin",63
"fluoxetine",44
"chloroquine",36
"ketamine",28
"penicillin",28
"azithromycin",27
"loperamide",25
"ibuprofen",24
"actemra",21
"budesonide",20
"warfarin",20
"colchicine",18
"fentanyl",17
"famotidine",16
"cannabidiol",13
"tempol",13
"tryptophan",13
"glyphosate",11
"doxycycline",10
"potassium",10
"prednisone",10
"acetaminophen",9
"hesperetin",9
"hesperidin",9
"oleandrin",9
"midazolam",8
"chlorine dioxide",7
"curcumin",7
"dopamine",7
"masitinib",7
"baricitinib",6
"favipiravir",6
"fenbendazole",6
"s-23",6
"cetirizine",5
"cysteine",5
"indomethacin",5
"omeprazole",5
"quinine",5
"triclosan",5
"amoxicillin",4
"aspartame",4
"buprenorphine",4
"calcifediol",4
"cetylpyridinium",4
"formaldehyde",4
"methotrexate",4
"bucillamine",3
"clarithromycin",3
"creatine",3
"fructose",3
"glutathione",3
"leronlimab",3
"oxycodone",3
"proline",3
"ritonavir",3
"talopram",3
"thiamine",3
"vincristine",3
"adenine",2
"aldosterone",2
"ambroxol",2
"aniline",2
"arbutin",2
"arginine",2
"artemisinin",2
"artesunate",2
"aviptadil",2
"azelastine",2
"berberine",2
"cadmium",2
"camphor",2
"ceftriaxone",2
"cyproheptadine",2
"erdosteine",2
"erythromycin",2
"fluticasone",2
"gabapentin",2
"hydroxyzine",2
"l-glutamine",2
"levodopa",2
"lopinavir",2
"mefloquine",2
"methylprednisolone",2
"naloxone",2
"niclosamide",2
"nitrous oxide",2
"nitrous-oxide",2
"oxymetazoline",2
"posaconazole",2
"thimerosal",2
"tramadol",2
"activated charcoal",1
"acyclovir",1
"adenosine",1
"allicin",1
"allopurinol",1
"amiodarone",1
"amphetamine",1
"angiotensin ii",1
"antipain",1
"arsenic trioxide",1
"astaxanthin",1
"atenolol",1
"atorvastatin",1
"benfotiamine",1
"benzoyl peroxide",1
"bivalirudin",1
"bromhexine",1
"captopril",1
"chloramphenicol",1
"clopidogrel",1
"codeine",1
"creatinine",1
"dapagliflozin",1
"diphenhydramine",1
"dutasteride",1
"efinaconazole",1
"enoximone",1
"epinephrine",1
"fedratinib",1
"fexofenadine",1
"folic",1
"gallium maltolate",1
"hydrocortisone",1
"hydroxyproline",1
"idronoxil",1
"imatinib",1
"ivabradine",1
"larazotide",1
"levetiracetam",1
"loratadine",1
"losartan",1
"magnesium citrate",1
"mebendazole",1
"megestrol",1
"megestrol acetate",1
"metformin",1
"methadone",1
"methionine",1
"minocycline",1
"mirin",1
"naproxen",1
"neopterin",1
"nicotinamide",1
"nikkomycin",1
"nitazoxanide",1
"oseltamivir",1
"pentobarbital",1
"phenobarbital",1
"phosphocreatine",1
"pioglitazone",1
"pirfenidone",1
"prednisolone",1
"pyrantel",1
"pyronaridine",1
"ramipril",1
"ranitidine",1
"riboflavin",1
"rivaroxaban",1
"rutin",1
"ruxolitinib",1
"salicin",1
"sertraline",1
"sildenafil",1
"sodium fluoride",1
"spironolactone",1
"suramin",1
"tofacitinib",1
"trenbolone",1
"urea",1
"valaciclovir",1
