"Drug","09-04-2022"
"ivermectin",21442
"fentanyl",65
"hydroxychloroquine",61
"quercetin",40
"ivabradine",13
"colchicine",12
"angiotensin ii",10
"ketamine",10
"chloroquine",9
"maraviroc",9
"fluvoxamine",8
"niacin",8
"prednisone",8
"azithromycin",7
"ibuprofen",7
"midazolam",7
"doxycycline",5
"acetaminophen",4
"dexamethasone",4
"midodrine",4
"ritonavir",4
"amoxicillin",3
"chlorine dioxide",3
"glutathione",3
"glyphosate",3
"methotrexate",3
"rivaroxaban",3
"thalidomide",3
"activated charcoal",2
"berberine",2
"biotin",2
"budesonide",2
"codeine",2
"curcumin",2
"cyproheptadine",2
"cysteine",2
"dopamine",2
"enzalutamide",2
"fructose",2
"imatinib",2
"levodopa",2
"meropenem",2
"metformin",2
"naltrexone",2
"octreotide",2
"prednisolone",2
"titanium dioxide",2
"tromethamine",2
"acetazolamide",1
"acetylcholine",1
"aldosterone",1
"allopurinol",1
"aniline",1
"artemisinin",1
"aviptadil",1
"baclofen",1
"benfotiamine",1
"benzodiazepine",1
"benzoin",1
"bpc-157",1
"bucillamine",1
"camostat",1
"cetylpyridinium",1
"choline",1
"cisplatin",1
"clenbuterol",1
"clomipramine",1
"clonazepam",1
"clopidogrel",1
"diltiazem",1
"dutasteride",1
"erythromycin",1
"famotidine",1
"favipiravir",1
"fluoxetine",1
"formaldehyde",1
"gentamicin",1
"guaifenesin",1
"histidine",1
"imidacloprid",1
"kava",1
"leucine",1
"levofloxacin",1
"lidocaine",1
"linezolid",1
"manganese",1
"methadone",1
"mirtazapine",1
"montelukast",1
"nafamostat",1
"nifedipine",1
"opipramol",1
"pregabalin",1
"pretomanid",1
"pyrantel",1
"quinine",1
"resveratrol",1
"s-23",1
"sertraline",1
"sulbactam",1
"tadalafil",1
"taurine",1
"temazepam",1
"trehalose",1
"umifenovir",1
"venlafaxine",1
