"Drug","11-23-2020"
"remdesivir",505
"hydroxychloroquine",412
"azithromycin",149
"favipiravir",95
"ivermectin",94
"leronlimab",63
"fentanyl",55
"chloroquine",49
"dexamethasone",41
"quercetin",35
"fluvoxamine",26
"thalidomide",23
"aviptadil",19
"ibuprofen",19
"levodopa",18
"baricitinib",16
"squalene",16
"cholecalciferol",14
"chlorine dioxide",13
"penicillin",12
"cyproheptadine",11
"talopram",10
"cyclosporine",9
"ifenprodil",9
"cetylpyridinium",8
"ketamine",8
"budesonide",7
"dextromethorphan",7
"doxycycline",7
"prednisolone",7
"quinine",7
"curcumin",6
"dopamine",6
"glutathione",6
"lopinavir",6
"manganese",6
"s-23",6
"sphingosine",6
"urea",6
"actemra",5
"aldosterone",5
"bradykinin",5
"ceftriaxone",5
"codeine",5
"estradiol",5
"hesperidin",5
"naloxone",5
"naproxen",5
"ritonavir",5
"tryptophan",5
"camostat",4
"colchicine",4
"methadone",4
"niacin",4
"prednisone",4
"acetaminophen",3
"calcifediol",3
"choline",3
"chromium",3
"creatine",3
"cysteine",3
"ebselen",3
"famotidine",3
"gentamicin",3
"glyphosate",3
"hydrocortisone",3
"oleandrin",3
"oxymetazoline",3
"potassium",3
"proline",3
"rhein",3
"acemetacin",2
"amlodipine",2
"bromhexine",2
"buprenorphine",2
"cannabidiol",2
"dipyridamole",2
"epinephrine",2
"fondaparinux",2
"gabapentin",2
"lidocaine",2
"meropenem",2
"methylprednisolone",2
"mmda",2
"nafamostat",2
"nitroglycerin",2
"ractopamine",2
"resveratrol",2
"spironolactone",2
"tamoxifen",2
"thiamine",2
"abivertinib",1
"acalabrutinib",1
"acetazolamide",1
"amantadine",1
"ambroxol",1
"amoxicillin",1
"antimony",1
"apremilast",1
"arginine",1
"artesunate",1
"astaxanthin",1
"atorvastatin",1
"bafilomycin a1",1
"benzodiazepine",1
"benzonatate",1
"boron",1
"brequinar",1
"cabotegravir",1
"camphor",1
"capsaicin",1
"carbamazepine",1
"catechin",1
"cefepime",1
"cetirizine",1
"clarithromycin",1
"clonazepam",1
"crocin",1
"dapsone",1
"darunavir",1
"dimethyltryptamine",1
"duloxetine",1
"epigallocatechin",1
"erdosteine",1
"flaviolin",1
"formaldehyde",1
"fostamatinib",1
"hypochlorous",1
"imipenem",1
"indole",1
"kitasamycin",1
"lansoprazole",1
"levofloxacin",1
"lorazepam",1
"mannose",1
"megestrol",1
"megestrol acetate",1
"methotrexate",1
"midodrine",1
"minocycline",1
"montelukast",1
"moxifloxacin",1
"naltrexone",1
"niobium",1
"nystatin",1
"omeprazole",1
"ornithine",1
"oxycodone",1
"plitidepsin",1
"progesterone",1
"puerarin",1
"pyridoxine",1
"pyrithione",1
"pyronaridine",1
"rapamycin",1
"rupintrivir",1
"ruxolitinib",1
"sarilumab",1
"sildenafil",1
"sisomicin",1
"spectinomycin",1
"streptomycin",1
"sunitinib",1
"taurine",1
"thymol",1
"toluene",1
"tramadol",1
"trazodone",1
"umifenovir",1
"up5",1
"vanadium",1
"zaltoprofen",1
