"Drug","05-04-2021"
"remdesivir",4398
"ivermectin",2921
"actemra",289
"ibuprofen",250
"hydroxychloroquine",211
"dexamethasone",151
"chloroquine",108
"doxycycline",107
"azithromycin",100
"leronlimab",100
"favipiravir",97
"baricitinib",96
"midazolam",80
"fluvoxamine",60
"budesonide",53
"promethazine",50
"fentanyl",42
"niacin",37
"nitazoxanide",35
"quercetin",35
"citco",33
"proline",27
"amodiaquine",25
"prednisone",24
"cyproheptadine",20
"arginine",15
"thalidomide",14
"colchicine",13
"crocin",12
"potassium",12
"camphor",11
"haloperidol",9
"lorazepam",9
"bucillamine",8
"fostamatinib",8
"acetaminophen",7
"amphotericin b",7
"cyclophosphamide",7
"penicillin",7
"calcifediol",6
"levodopa",6
"vincristine",6
"artesunate",5
"bromhexine",5
"chlorine dioxide",5
"cysteine",5
"epinephrine",5
"folic",5
"levocetirizine",5
"niclosamide",5
"piroxicam",5
"pyronaridine",5
"berberine",4
"camostat",4
"curcumin",4
"estradiol",4
"methotrexate",4
"naproxen",4
"prednisolone",4
"riboflavin",4
"suramin",4
"uracil",4
"amantadine",3
"apixaban",3
"azelastine",3
"fluoxetine",3
"indomethacin",3
"mmda",3
"montelukast",3
"naloxone",3
"nitrous oxide",3
"nitrous-oxide",3
"warfarin",3
"zotatifin",3
"amlodipine",2
"artemisinin",2
"aviptadil",2
"biotin",2
"ciclesonide",2
"cladribine",2
"clonazepam",2
"clopidogrel",2
"creatine",2
"dopamine",2
"famotidine",2
"fexofenadine",2
"forskolin",2
"fructose",2
"glycine",2
"glyphosate",2
"hydrocortisone",2
"hypochlorous",2
"kava",2
"ketamine",2
"l-lysine",2
"malic",2
"mefloquine",2
"pentoxifylline",2
"phosphorus",2
"rhein",2
"s-23",2
"sarilumab",2
"telmisartan",2
"thiamine",2
"acetylcysteine",1
"activated charcoal",1
"adenosine",1
"alanine",1
"albendazole",1
"aldosterone",1
"alprazolam",1
"ambroxol",1
"amiodarone",1
"amitriptyline",1
"amoxicillin",1
"angiotensin ii",1
"antipain",1
"aripiprazole",1
"atorvastatin",1
"bendamustine",1
"bivalirudin",1
"cabotegravir",1
"calcitriol",1
"cannabidiol",1
"capecitabine",1
"capmatinib",1
"carbetocin",1
"chlorhexidine",1
"chloroprocaine",1
"chlorpromazine",1
"clarithromycin",1
"codeine",1
"compound 2",1
"creatinine",1
"cytarabine",1
"cytidine",1
"dabigatran",1
"dextromethorphan",1
"diazepam",1
"digoxin",1
"dipyridamole",1
"disulfiram",1
"domperidone",1
"dutasteride",1
"edoxaban",1
"finasteride",1
"fingolimod",1
"fluticasone",1
"fondaparinux",1
"formaldehyde",1
"gemcitabine",1
"glutathione",1
"hinokitiol",1
"histidine",1
"hyaluronic",1
"hydroxyzine",1
"isoquercetin",1
"istaroxime",1
"megestrol",1
"megestrol acetate",1
"metformin",1
"methylprednisolone",1
"metoprolol",1
"metronidazole",1
"nelfinavir",1
"omeprazole",1
"oseltamivir",1
"pidotimod",1
"pregnenolone",1
"progesterone",1
"propranolol",1
"pyridostigmine",1
"rapamycin",1
"ribavirin",1
"rivaroxaban",1
"sertraline",1
"sodium ascorbate",1
"sodium chlorite",1
"sodium hydroxide",1
"spermidine",1
"tamoxifen",1
"tempol",1
"tetrandrine",1
"thimerosal",1
"thymol",1
"tiotropium",1
"triclosan",1
"tryptophan",1
"tu-100",1
"urea",1
"vancomycin",1
