"Drug","06-22-2020"
"hydroxychloroquine",3014
"dexamethasone",2619
"azithromycin",1599
"remdesivir",1299
"favipiravir",793
"chloroquine",116
"ivermectin",96
"fentanyl",41
"quercetin",41
"ketamine",27
"ibuprofen",26
"naloxone",23
"glyphosate",21
"dopamine",20
"umifenovir",20
"methylprednisolone",18
"galidesivir",16
"metformin",15
"famotidine",13
"ruxolitinib",12
"boron",10
"doxycycline",10
"methadone",8
"mmda",8
"colchicine",7
"nelfinavir",7
"potassium",7
"prednisone",7
"s-23",7
"squalene",7
"acetaminophen",6
"amphetamine",6
"budesonide",6
"lopinavir",6
"merimepodib",6
"penicillin",6
"ritonavir",6
"ronnel",6
"aldosterone",5
"buprenorphine",5
"cannabidiol",5
"hydrocortisone",5
"raloxifene",5
"zanamivir",5
"bucillamine",4
"ciclesonide",4
"codeine",4
"dipyridamole",4
"glutathione",4
"methylprednisone",4
"naproxen",4
"niacin",4
"nitazoxanide",4
"thiamine",4
"vincristine",4
"acetylcholine",3
"amodiaquine",3
"baricitinib",3
"clozapine",3
"emetine",3
"fulvestrant",3
"homoharringtonine",3
"methyl isocyanate",3
"obatoclax",3
"perchlorate",3
"quinine",3
"salinomycin",3
"acyclovir",2
"amoxicillin",2
"cyclosporine",2
"glycine",2
"indole",2
"indomethacin",2
"lurasidone",2
"niclosamide",2
"phenol",2
"prednisolone",2
"pseudoephedrine",2
"rivaroxaban",2
"rivastigmine",2
"sodium chlorite",2
"sphingosine",2
"sugammadex",2
"tramadol",2
"urea",2
"activated charcoal",1
"allicin",1
"amantadine",1
"angiotensin ii",1
"apomorphine",1
"artemisinin",1
"benzodiazepine",1
"benzonatate",1
"benzoyl peroxide",1
"chlorine dioxide",1
"curcumin",1
"cysteine",1
"daclatasvir",1
"debrisoquine",1
"degarelix",1
"diosmin",1
"empagliflozin",1
"epigallocatechin",1
"fluoxetine",1
"formaldehyde",1
"fosfomycin",1
"fructose",1
"gabapentin",1
"hesperidin",1
"hydroquinone",1
"imatinib",1
"levodopa",1
"levofloxacin",1
"lidocaine",1
"maraviroc",1
"mefloquine",1
"megestrol",1
"megestrol acetate",1
"memantine",1
"methotrexate",1
"midazolam",1
"montelukast",1
"neodymium",1
"omeprazole",1
"oseltamivir",1
"oxycodone",1
"peramivir",1
"phosphorus",1
"pioglitazone",1
"praziquantel",1
"progesterone",1
"quetiapine",1
"ribavirin",1
"rocuronium",1
"saquinavir",1
"sertraline",1
"sorbitol",1
"sulfasalazine",1
"titanium dioxide",1
"trazodone",1
"triclosan",1
"tyrosine",1
"vanadium",1
"vardenafil",1
"venetoclax",1
"warfarin",1
"zidovudine",1
