"Drug","06-27-2020"
"hydroxychloroquine",3010
"dexamethasone",1227
"remdesivir",394
"methylprednisolone",336
"fentanyl",216
"chloroquine",212
"chlorine dioxide",206
"ivermectin",198
"azithromycin",164
"tenofovir",89
"emtricitabine",86
"favipiravir",75
"ibuprofen",67
"ec-17",60
"colchicine",45
"quercetin",24
"metformin",21
"doxycycline",14
"quinine",14
"dopamine",13
"s-23",13
"squalene",12
"ketamine",11
"glyphosate",10
"niacin",10
"nitazoxanide",10
"potassium",10
"baricitinib",9
"glutathione",8
"camostat",7
"galidesivir",7
"cyclosporine",6
"epinephrine",6
"famotidine",6
"losmapimod",6
"angiotensin ii",5
"codeine",5
"curcumin",5
"prednisone",5
"ralimetinib",5
"ruxolitinib",5
"aldosterone",4
"benzodiazepine",4
"gilteritinib",4
"indomethacin",4
"niclosamide",4
"uracil",4
"vincristine",4
"warfarin",4
"abemaciclib",3
"acetaminophen",3
"calcitriol",3
"camphor",3
"dantrolene",3
"dasatinib",3
"duvelisib",3
"estradiol",3
"fingolimod",3
"lopinavir",3
"mmda",3
"naloxone",3
"nitenpyram",3
"nitrite",3
"penicillin",3
"pyronaridine",3
"ritonavir",3
"silmitasertib",3
"sirolimus",3
"spinosad",3
"tacrolimus",3
"acyclovir",2
"andrographolide",2
"atracurium",2
"cisatracurium",2
"dipyridamole",2
"ebselen",2
"formaldehyde",2
"fructose",2
"gadolinium",2
"ifenprodil",2
"indole",2
"levodopa",2
"loratadine",2
"losartan",2
"phosphorus",2
"potassium acetate",2
"ribavirin",2
"rocuronium",2
"sodium ascorbate",2
"talopram",2
"tramadol",2
"vanadium",2
"vs-5584",2
"acalabrutinib",1
"acetylcholine",1
"adenosine",1
"allantoin",1
"alprazolam",1
"amantadine",1
"amlodipine",1
"amodiaquine",1
"amoxicillin",1
"antipyrine",1
"apilimod",1
"arsenic trioxide",1
"artesunate",1
"avacopan",1
"avibactam",1
"aviptadil",1
"biotin",1
"brazilin",1
"cafedrine",1
"candesartan",1
"cetylpyridinium",1
"chlorhexidine",1
"chloroxylenol",1
"cholecalciferol",1
"citicoline",1
"citrulline",1
"cladribine",1
"clonazepam",1
"cysteine",1
"cystine",1
"defactinib",1
"doxorubicin",1
"duloxetine",1
"ephedrine",1
"everolimus",1
"flaviolin",1
"fluorescein",1
"fluoxetine",1
"gabapentin",1
"hydroquinone",1
"ibrutinib",1
"inosine",1
"kava",1
"leucine",1
"levofloxacin",1
"levonorgestrel",1
"lofepramine",1
"lupeol",1
"maraviroc",1
"mefloquine",1
"methadone",1
"methotrexate",1
"methylcobalamin",1
"moxifloxacin",1
"naltrexone",1
"nelfinavir",1
"nicotinamide",1
"nitrous oxide",1
"oseltamivir",1
"pantoprazole",1
"perchlorate",1
"praziquantel",1
"propofol",1
"resveratrol",1
"riboflavin",1
"salbutamol",1
"sertraline",1
"sodium acetate",1
"strychnine",1
"sulforaphane",1
"tadalafil",1
"taxifolin",1
"tetracycline",1
"theanine",1
"thiamine",1
"trazodone",1
"ubiquinol",1
"urea",1
