"Drug","08-30-2020"
"hydroxychloroquine",4898
"remdesivir",499
"ivermectin",370
"azithromycin",249
"fentanyl",142
"chloroquine",135
"aviptadil",30
"metformin",20
"dexamethasone",19
"nitazoxanide",18
"doxycycline",16
"budesonide",15
"oleandrin",12
"colchicine",11
"favipiravir",11
"dopamine",10
"thalidomide",10
"vincristine",9
"lopinavir",7
"ritonavir",7
"famotidine",6
"glutathione",6
"quercetin",6
"telmisartan",6
"cesium",5
"curcumin",5
"prednisone",5
"quinine",5
"amitriptyline",4
"clopidogrel",4
"formaldehyde",4
"fostamatinib",4
"ibuprofen",4
"iodide",4
"maraviroc",4
"pregabalin",4
"camostat",3
"fructose",3
"oxymetazoline",3
"prasugrel",3
"ronnel",3
"suramin",3
"thiamine",3
"artemisinin",2
"atazanavir",2
"benzodiazepine",2
"cholecalciferol",2
"codeine",2
"cysteine",2
"fenofibrate",2
"formoterol",2
"gliclazide",2
"glyphosate",2
"ketamine",2
"mefloquine",2
"methadone",2
"niclosamide",2
"piperacillin",2
"progesterone",2
"propofol",2
"rhein",2
"ruxolitinib",2
"squalene",2
"streptomycin",2
"tamoxifen",2
"valine",2
"acalabrutinib",1
"acetaminophen",1
"aldosterone",1
"amoxicillin",1
"antipain",1
"apilimod",1
"artemether",1
"aspartame",1
"astaxanthin",1
"atorvastatin",1
"berberine",1
"birinapant",1
"bradykinin",1
"bromhexine",1
"bucillamine",1
"cadmium",1
"calcium gluconate",1
"cannabidiol",1
"ciclesonide",1
"clascoterone",1
"clonidine",1
"creatine",1
"cyproheptadine",1
"esketamine",1
"estradiol",1
"estradiol valerate",1
"estradiol-valerate",1
"ferrous fumarate",1
"fluocinonide",1
"hesperidin",1
"hydrocortisone",1
"hydroquinone",1
"hydroxyzine",1
"ketanserin",1
"l-lysine",1
"lansoprazole",1
"leucovorin",1
"mavacamten",1
"megestrol",1
"megestrol acetate",1
"mitoxantrone",1
"mmda",1
"mometasone",1
"moxifloxacin",1
"naloxone",1
"neopterin",1
"nitrous oxide",1
"noscapine",1
"oseltamivir",1
"penicillin",1
"resveratrol",1
"sacubitril",1
"samarium",1
"sodium chlorite",1
"spironolactone",1
"talopram",1
"thimerosal",1
"thymol",1
"titanium dioxide",1
"tyrosine",1
