"Drug","04-04-2021"
"ivermectin",5188
"hydroxychloroquine",390
"remdesivir",150
"dexamethasone",95
"quercetin",61
"niacin",50
"leronlimab",44
"azithromycin",36
"fentanyl",28
"ibuprofen",17
"chlorine dioxide",15
"fluvoxamine",13
"prednisone",12
"lopinavir",10
"ritonavir",10
"thiamine",10
"colchicine",9
"riboflavin",9
"bromhexine",8
"budesonide",7
"chlorhexidine",7
"chloroquine",7
"cyclosporine",7
"thalidomide",7
"acetylcholine",6
"camostat",6
"doxycycline",6
"levodopa",6
"metformin",6
"mmda",6
"nafamostat",6
"dacomitinib",5
"famotidine",5
"penicillin",5
"quinine",5
"salinomycin",5
"berberine",4
"formaldehyde",4
"sulforaphane",4
"amoxicillin",3
"artemisinin",3
"astaxanthin",3
"dopamine",3
"folic",3
"hypochlorous",3
"losartan",3
"methotrexate",3
"nifuroxazide",3
"progesterone",3
"ranitidine",3
"silmitasertib",3
"tryptophan",3
"acetaminophen",2
"actemra",2
"amantadine",2
"artesunate",2
"aviptadil",2
"cannabidiol",2
"codeine",2
"cysteine",2
"diazepam",2
"favipiravir",2
"fostamatinib",2
"glutathione",2
"hydroquinone",2
"ibudilast",2
"ketamine",2
"mefloquine",2
"methadone",2
"misoprostol",2
"nitazoxanide",2
"nitrous oxide",2
"nitrous-oxide",2
"ramipril",2
"rivaroxaban",2
"sotagliflozin",2
"activated charcoal",1
"albendazole",1
"aldosterone",1
"antimony",1
"antipain",1
"baricitinib",1
"cadmium",1
"calcitriol",1
"camphor",1
"cefuroxime",1
"cetirizine",1
"cetylpyridinium",1
"clarithromycin",1
"cobalamin",1
"creatinine",1
"crocin",1
"doxylamine",1
"erythromycin",1
"fenbendazole",1
"fingolimod",1
"fluoxetine",1
"glyphosate",1
"hispidin",1
"hydrocortisone",1
"indole",1
"kaolin",1
"l-lysine",1
"loratadine",1
"lumateperone",1
"meclizine",1
"methylcobalamin",1
"methylprednisolone",1
"methylprednisone",1
"molybdenum",1
"montelukast",1
"naltrexone",1
"niclosamide",1
"nicotinamide",1
"omeprazole",1
"orlistat",1
"oxycodone",1
"oxymetazoline",1
"phosphorus",1
"propofol",1
"pseudoephedrine",1
"pyridoxine",1
"pyrithione",1
"rapamycin",1
"resveratrol",1
"retinol",1
"s-23",1
"salbutamol",1
"sertraline",1
"sildenafil",1
"streptomycin",1
"umifenovir",1
