"Drug","07-19-2022"
"ivermectin",2901
"fentanyl",138
"hydroxychloroquine",75
"quercetin",46
"ibuprofen",26
"vincristine",19
"famotidine",18
"prednisone",17
"chloroquine",10
"methotrexate",10
"thalidomide",10
"midazolam",9
"naltrexone",8
"dexamethasone",7
"ketamine",7
"niacin",7
"baricitinib",6
"colchicine",6
"glutathione",6
"pentoxifylline",6
"azithromycin",5
"artesunate",4
"doxycycline",4
"fluvoxamine",4
"ritonavir",4
"titanium dioxide",4
"acetaminophen",3
"clopidogrel",3
"codeine",3
"curcumin",3
"cysteine",3
"dopamine",3
"gabapentin",3
"indomethacin",3
"methadone",3
"misoprostol",3
"quinine",3
"cyproheptadine",2
"epigallocatechin",2
"guaifenesin",2
"guanine",2
"hydroxyzine",2
"l-lysine",2
"naloxone",2
"nitrous oxide",2
"proline",2
"quinacrine",2
"sofosbuvir",2
"tafenoquine",2
"thiamine",2
"tryptophan",2
"adenosine",1
"argatroban",1
"arginine",1
"aspartame",1
"atomoxetine",1
"azelastine",1
"benzonatate",1
"bexarotene",1
"budesonide",1
"cannabidiol",1
"cefdinir",1
"cetirizine",1
"chromium",1
"clonazepam",1
"dabrafenib",1
"digoxin",1
"dosulepin",1
"duloxetine",1
"epinephrine",1
"estradiol",1
"fluoxetine",1
"fondaparinux",1
"hydroquinone",1
"hydroxyurea",1
"imatinib",1
"ketotifen",1
"lidocaine",1
"lorazepam",1
"lurasidone",1
"megestrol acetate",1
"metformin",1
"methylprednisolone",1
"metoprolol",1
"mifepristone",1
"modafinil",1
"monensin",1
"naproxen",1
"niclosamide",1
"nicotinamide",1
"nitazoxanide",1
"nystatin",1
"ramipril",1
"regorafenib",1
"rifaximin",1
"ruxolitinib",1
"s-23",1
"salinomycin",1
"sorafenib",1
"spironolactone",1
"squalene",1
"tadalafil",1
"talopram",1
"telmisartan",1
"tramadol",1
"valaciclovir",1
"valine",1
"vortioxetine",1
"zopiclone",1
