"Drug","08-06-2022"
"ivermectin",477
"fentanyl",102
"hydroxychloroquine",87
"niacin",34
"chloroquine",21
"glyphosate",20
"dexamethasone",15
"ibuprofen",13
"ritonavir",9
"quercetin",8
"azithromycin",7
"thalidomide",7
"apixaban",6
"dopamine",5
"doxycycline",5
"hydroxyzine",5
"kaolin",5
"fluvoxamine",4
"imatinib",4
"ketamine",4
"ketotifen",4
"meclizine",4
"midazolam",4
"prednisone",4
"artesunate",3
"berberine",3
"chlorpheniramine",3
"famotidine",3
"gabapentin",3
"resveratrol",3
"codeine",2
"creatine",2
"glutathione",2
"propranolol",2
"quetiapine",2
"rivaroxaban",2
"taurine",2
"tryptophan",2
"acetaminophen",1
"acetylcholine",1
"acyclovir",1
"amitriptyline",1
"amphetamine",1
"aniline",1
"arginine",1
"bacitracin",1
"biotin",1
"bromhexine",1
"capsaicin",1
"clindamycin",1
"cyproheptadine",1
"cysteamine",1
"cysteine",1
"desloratadine",1
"diphenhydramine",1
"duloxetine",1
"fluorescein",1
"fluoxetine",1
"formaldehyde",1
"fructose",1
"glycine",1
"hydrocodone",1
"lidocaine",1
"lisinopril",1
"methylphenidate",1
"methylprednisolone",1
"naloxone",1
"naltrexone",1
"naproxen",1
"nebivolol",1
"oxycodone",1
"phentermine",1
"pravastatin",1
"pyridostigmine",1
"rocuronium",1
"s-23",1
"spermidine",1
"sphingosine",1
"sugammadex",1
"tacrolimus",1
"tadalafil",1
"tetracycline",1
"theophylline",1
"topiramate",1
"urea",1
"vancomycin",1
"vincristine",1
"vortioxetine",1
