"Drug","12-15-2020"
"ivermectin",1225
"azithromycin",664
"remdesivir",172
"quercetin",109
"fentanyl",97
"baricitinib",93
"leronlimab",49
"chloroquine",48
"cyproheptadine",37
"ketanserin",36
"dexamethasone",31
"thalidomide",27
"glutathione",24
"bradykinin",23
"ibuprofen",22
"amantadine",21
"cannabidiol",17
"ifenprodil",16
"lopinavir",16
"calcifediol",15
"bromhexine",14
"tamoxifen",14
"chlorine dioxide",12
"penicillin",12
"aviptadil",11
"estradiol",11
"naloxone",11
"prednisone",11
"quinine",11
"s-23",11
"bucillamine",10
"icosapent",9
"icosapent ethyl",9
"niacin",9
"potassium",9
"colchicine",8
"famotidine",8
"formaldehyde",8
"thimerosal",8
"cholecalciferol",7
"losartan",7
"sildenafil",7
"talopram",7
"squalene",6
"vancomycin",6
"angiotensin ii",5
"metformin",5
"methadone",5
"ruxolitinib",5
"spironolactone",5
"codeine",4
"ketamine",4
"acetaminophen",3
"aluminum oxide",3
"amoxicillin",3
"astaxanthin",3
"berberine",3
"boron",3
"fluvoxamine",3
"methotrexate",3
"mifepristone",3
"nitrous oxide",3
"nitrous-oxide",3
"ritonavir",3
"warfarin",3
"aldosterone",2
"apremilast",2
"aspartame",2
"azathioprine",2
"budesonide",2
"cetirizine",2
"chromium",2
"clonidine",2
"cysteine",2
"diazepam",2
"dopamine",2
"fructose",2
"glyphosate",2
"grazoprevir",2
"guanosine",2
"hyaluronic",2
"hypochlorous",2
"imatinib",2
"linezolid",2
"megestrol",2
"megestrol acetate",2
"meropenem",2
"naproxen",2
"nitrite",2
"nitrofurantoin",2
"ribavirin",2
"ronnel",2
"rubidium",2
"simeprevir",2
"tantalum",2
"thiamine",2
"uracil",2
"acetyl chloride",1
"actemra",1
"activated charcoal",1
"adenosine",1
"amyl nitrite",1
"anandamide",1
"aniline",1
"antipain",1
"argatroban",1
"artemisinin",1
"artesunate",1
"benazepril",1
"benzonatate",1
"blarcamesine",1
"cadmium",1
"camostat",1
"camphor",1
"cetylpyridinium",1
"chloride ion",1
"citrulline",1
"clarithromycin",1
"compound 2",1
"cyclosporine",1
"dapagliflozin",1
"dutasteride",1
"epinephrine",1
"ferric sulfate",1
"fluticasone",1
"folic",1
"forskolin",1
"gabapentin",1
"ganciclovir",1
"kava",1
"l-lysine",1
"lisinopril",1
"lumateperone",1
"malathion",1
"malic",1
"manganese",1
"misoprostol",1
"modafinil",1
"molybdenum",1
"nicotinamide",1
"niobium",1
"norepinephrine",1
"oleandrin",1
"oxymetazoline",1
"pantoprazole",1
"pemetrexed",1
"peramivir",1
"piracetam",1
"potassium chloride",1
"pregabalin",1
"progesterone",1
"proline",1
"pyronaridine",1
"raloxifene",1
"ramipril",1
"ranitidine",1
"retinol",1
"riboflavin",1
"salbutamol",1
"sertraline",1
"strychnine",1
"sulbactam",1
"suvn-502",1
"tofacitinib",1
"tramadol",1
"tryptophan",1
"tyrosine",1
"upamostat",1
"urea",1
"vinblastine",1
