"Drug","04-25-2022"
"quercetin",3306
"fentanyl",2001
"ivermectin",1078
"ritonavir",271
"famotidine",152
"hydroxychloroquine",142
"bucillamine",48
"niacin",22
"fluvoxamine",15
"ibuprofen",15
"chloroquine",14
"dexamethasone",14
"montelukast",14
"thalidomide",14
"vincristine",14
"midazolam",12
"oxycodone",12
"aviptadil",9
"indomethacin",9
"azithromycin",8
"glyphosate",8
"metoprolol",8
"budesonide",7
"ketamine",6
"doxycycline",5
"propranolol",5
"tromethamine",5
"tryptophan",5
"arginine",4
"camphor",4
"cysteine",4
"maraviroc",4
"tempol",4
"tramadol",4
"acetaminophen",3
"bisoprolol",3
"dopamine",3
"favipiravir",3
"methadone",3
"minocycline",3
"modafinil",3
"prednisone",3
"ribavirin",3
"uridine",3
"bucindolol",2
"colchicine",2
"curcumin",2
"cyclosporine",2
"estradiol",2
"metformin",2
"methotrexate",2
"naloxone",2
"nicotinamide",2
"ranitidine",2
"resveratrol",2
"s-23",2
"sulforaphane",2
"talopram",2
"acetylcholine",1
"activated charcoal",1
"adenine",1
"apixaban",1
"biotin",1
"bradykinin",1
"cefazolin",1
"chlorine dioxide",1
"chromium",1
"citalopram",1
"clozapine",1
"codeine",1
"creatine",1
"dextroamphetamine",1
"diamorphine",1
"diphenhydramine",1
"disulfiram",1
"ebselen",1
"fingolimod",1
"gadolinium",1
"guaifenesin",1
"hydroxyzine",1
"hypericin",1
"indole",1
"iodide",1
"ketotifen",1
"ledipasvir",1
"loratadine",1
"mannose",1
"mercaptopurine",1
"methylprednisolone",1
"naltrexone",1
"permethrin",1
"piperine",1
"plitidepsin",1
"potassium iodide",1
"pregabalin",1
"proline",1
"propofol",1
"quetiapine",1
"quinine",1
"rivaroxaban",1
"sofosbuvir",1
"streptomycin",1
"sulfasalazine",1
"thiamine",1
"trazodone",1
"trehalose",1
"up5",1
"vancomycin",1
"zopiclone",1
