"Drug","10-31-2020"
"hydroxychloroquine",1424
"remdesivir",339
"ivermectin",171
"azithromycin",108
"dexamethasone",64
"nitazoxanide",59
"leronlimab",45
"chloroquine",35
"quinine",25
"quercetin",22
"talopram",21
"doxycycline",19
"favipiravir",16
"aviptadil",15
"prednisone",13
"spironolactone",13
"thimerosal",13
"ibuprofen",12
"budesonide",11
"squalene",10
"chlorine dioxide",9
"toluene",9
"diazepam",8
"fentanyl",8
"ketamine",8
"naloxone",8
"clonazepam",7
"raloxifene",7
"atropine",6
"glutathione",6
"maraviroc",6
"artesunate",5
"famotidine",5
"metformin",5
"s-23",5
"titanium dioxide",5
"arginine",4
"camostat",4
"epinephrine",4
"indomethacin",4
"penicillin",4
"phosphorus",4
"pyronaridine",4
"acetaminophen",3
"bucillamine",3
"calcifediol",3
"fructose",3
"hydrocortisone",3
"methylprednisolone",3
"oseltamivir",3
"potassium",3
"thiamine",3
"aldosterone",2
"artemisinin",2
"bradykinin",2
"bromhexine",2
"ceftriaxone",2
"ceramide",2
"codeine",2
"dopamine",2
"fluvoxamine",2
"formaldehyde",2
"gabapentin",2
"gentamicin",2
"k-134",2
"losartan",2
"methadone",2
"methotrexate",2
"nafamostat",2
"plitidepsin",2
"thalidomide",2
"vincristine",2
"warfarin",2
"actinium",1
"adenosine",1
"amantadine",1
"ambroxol",1
"amoxicillin",1
"angiotensin ii",1
"artemether",1
"aspartame",1
"cannabidiol",1
"capsaicin",1
"cetylpyridinium",1
"ciclesonide",1
"colchicine",1
"creatinine",1
"cyproheptadine",1
"dacarbazine",1
"droperidol",1
"eugenol",1
"fluoxetine",1
"fostamatinib",1
"gliclazide",1
"glycine",1
"glyphosate",1
"imodium",1
"indole",1
"lopinavir",1
"mephedrone",1
"methionine",1
"midazolam",1
"ml-9",1
"mmda",1
"montelukast",1
"niclosamide",1
"nitrous oxide",1
"nitrous-oxide",1
"oleandrin",1
"paclitaxel",1
"prednisolone",1
"ramipril",1
"ranitidine",1
"retinol",1
"ritonavir",1
"ruxolitinib",1
"solifenacin",1
"strychnine",1
"telmisartan",1
"triclosan",1
"tropisetron",1
"vanadium",1
