"Drug","12-07-2020"
"hydroxychloroquine",2324
"remdesivir",493
"azithromycin",226
"ivermectin",105
"quercetin",83
"chloroquine",76
"dexamethasone",48
"aviptadil",45
"thalidomide",40
"fentanyl",37
"metformin",37
"glyphosate",31
"leronlimab",25
"baricitinib",22
"squalene",20
"niacin",19
"favipiravir",16
"quinine",15
"cyclosporine",14
"ibuprofen",14
"ketamine",13
"lopinavir",11
"naloxone",11
"buprenorphine",10
"catechin",10
"doxycycline",10
"fluvoxamine",10
"malic",10
"dopamine",8
"penicillin",8
"acetaminophen",7
"chlorine dioxide",7
"potassium",7
"prednisone",7
"talopram",6
"ceftriaxone",5
"formaldehyde",5
"ifenprodil",5
"naproxen",5
"oleandrin",5
"remifentanil",5
"artemisinin",4
"cannabidiol",4
"famotidine",4
"boron",3
"bradykinin",3
"bucillamine",3
"calcifediol",3
"capsaicin",3
"citco",3
"glutathione",3
"hesperidin",3
"hyaluronic",3
"ramatroban",3
"ritonavir",3
"rutin",3
"s-23",3
"thiamine",3
"vanadium",3
"warfarin",3
"aluminum oxide",2
"bromhexine",2
"budesonide",2
"camostat",2
"estradiol",2
"guanidine",2
"hydrocortisone",2
"isoquercetin",2
"methylprednisolone",2
"naltrexone",2
"neodymium",2
"nitazoxanide",2
"omeprazole",2
"propofol",2
"rhein",2
"rivaroxaban",2
"sertraline",2
"sodium ascorbate",2
"toluene",2
"acetylcholine",1
"alanine",1
"alisporivir",1
"alpha-pinene",1
"amantadine",1
"amiloride",1
"amphetamine",1
"aniline",1
"antipain",1
"apremilast",1
"aripiprazole",1
"aspartame",1
"atropine",1
"biotin",1
"bisacodyl",1
"buspirone",1
"calcium ascorbate",1
"camphor",1
"cetirizine",1
"cholecalciferol",1
"choline",1
"chromium",1
"codeine",1
"colchicine",1
"creatine",1
"curcumin",1
"cyproheptadine",1
"daclatasvir",1
"danoprevir",1
"dantrolene",1
"dextromethorphan",1
"diazepam",1
"dipyridamole",1
"dronabinol",1
"ehna",1
"epigallocatechin",1
"epinephrine",1
"erdosteine",1
"ergocalciferol",1
"escitalopram",1
"estradiol valerate",1
"estradiol-valerate",1
"fluoxetine",1
"folic",1
"forskolin",1
"fostamatinib",1
"fructose",1
"guaifenesin",1
"hydrocodone",1
"hydroquinone",1
"hypochlorous",1
"levodopa",1
"levofloxacin",1
"megestrol",1
"megestrol acetate",1
"methadone",1
"methylphenidate",1
"minoxidil",1
"montelukast",1
"nicotinamide",1
"nitrous oxide",1
"nitrous-oxide",1
"norepinephrine",1
"nortriptyline",1
"oseltamivir",1
"oxymetazoline",1
"phenobarbital",1
"phosphorus",1
"piperaquine",1
"prednisolone",1
"pregabalin",1
"progesterone",1
"promethazine",1
"ractopamine",1
"retinol",1
"ronnel",1
"sitagliptin",1
"sofosbuvir",1
"streptomycin",1
"urea",1
"vardenafil",1
