"Drug","03-25-2021"
"ivermectin",2078
"hydroxychloroquine",339
"azithromycin",238
"remdesivir",236
"oxymetazoline",150
"quercetin",100
"leronlimab",95
"clarithromycin",61
"fluoxetine",54
"glyphosate",45
"dabigatran",42
"fentanyl",42
"chloroquine",39
"dexamethasone",33
"fluvoxamine",30
"ibuprofen",30
"apixaban",23
"atorvastatin",23
"niacin",17
"progesterone",15
"mmda",14
"penicillin",13
"actemra",12
"budesonide",11
"talopram",11
"acetaminophen",10
"calcifediol",10
"estradiol",10
"nicotinamide",10
"thalidomide",10
"bromhexine",9
"methadone",9
"pyronaridine",9
"doxycycline",8
"spironolactone",8
"aviptadil",7
"bucillamine",7
"canrenone",7
"colchicine",7
"rapamycin",7
"famotidine",6
"favipiravir",6
"ketamine",6
"niclosamide",6
"arginine",5
"quinacrine",5
"tilorone",5
"berzosertib",4
"camostat",4
"ciclesonide",4
"hyaluronic",4
"mefloquine",4
"metformin",4
"nitazoxanide",4
"prednisone",4
"s-23",4
"sarilumab",4
"astaxanthin",3
"cannabidiol",3
"diclofenac",3
"docetaxel",3
"malic",3
"methylprednisolone",3
"naproxen",3
"tramadol",3
"vincristine",3
"ambroxol",2
"amoxicillin",2
"antipain",2
"artemisinin",2
"baricitinib",2
"berberine",2
"cladribine",2
"curcumin",2
"cyproheptadine",2
"dipyridamole",2
"fingolimod",2
"formaldehyde",2
"glutathione",2
"indium",2
"isoquercetin",2
"lidocaine",2
"loperamide",2
"losartan",2
"nafamostat",2
"naltrexone",2
"oseltamivir",2
"potassium",2
"potassium chloride",2
"quinine",2
"resveratrol",2
"semaglutide",2
"thiamine",2
"warfarin",2
"abacavir",1
"alanine",1
"alprazolam",1
"amphetamine",1
"angiotensin ii",1
"aripiprazole",1
"artemether",1
"artesunate",1
"bedaquiline",1
"bicalutamide",1
"bosentan",1
"bradykinin",1
"camphor",1
"capsaicin",1
"chlorhexidine",1
"chlorine dioxide",1
"chromium",1
"cidofovir",1
"clofazimine",1
"clomipramine",1
"clonazepam",1
"codeine",1
"crocin",1
"dextromethorphan",1
"diazepam",1
"dopamine",1
"entecavir",1
"epinephrine",1
"everolimus",1
"finasteride",1
"folic",1
"fructose",1
"ganciclovir",1
"guanidine",1
"hydroxyzine",1
"hypochlorous",1
"indomethacin",1
"ivabradine",1
"lenvatinib",1
"loratadine",1
"lorazepam",1
"mannose",1
"meldonium",1
"methotrexate",1
"mirtazapine",1
"nevirapine",1
"nimesulide",1
"permethrin",1
"phosphorus",1
"plitidepsin",1
"prostaglandin",1
"retinol",1
"ribavirin",1
"ritonavir",1
"sertraline",1
"siltuximab",1
"simvastatin",1
"sitaxentan",1
"sodium ascorbate",1
"sphingosine",1
"stavudine",1
"tamoxifen",1
"telaprevir",1
"tenapanor",1
"tianeptine",1
"valganciclovir",1
"vancomycin",1
"voriconazole",1
"vs-5584",1
