"Drug","06-21-2021"
"ivermectin",5502
"remdesivir",123
"doxycycline",94
"calcifediol",77
"nitazoxanide",74
"chloroquine",50
"dexamethasone",47
"leronlimab",45
"squalene",45
"niacin",37
"azithromycin",28
"niclosamide",28
"thalidomide",27
"midazolam",25
"favipiravir",23
"quercetin",22
"amphotericin b",19
"fluvoxamine",19
"fentanyl",17
"camostat",14
"levodopa",14
"metformin",14
"tempol",14
"budesonide",11
"suramin",11
"ibuprofen",9
"penicillin",9
"s-23",9
"chlorine dioxide",7
"imatinib",7
"artemisinin",6
"glutathione",6
"prednisolone",6
"tamoxifen",6
"cannabidiol",5
"estradiol",5
"glyphosate",5
"methotrexate",5
"mifepristone",5
"proline",5
"resveratrol",5
"talopram",5
"buprenorphine",4
"catechin",4
"ebselen",4
"fisetin",4
"ketamine",4
"losartan",4
"tofacitinib",4
"aldosterone",3
"benznidazole",3
"dopamine",3
"kava",3
"levothyroxine",3
"nicotinamide",3
"nitrous oxide",3
"nitrous-oxide",3
"omeprazole",3
"quinine",3
"tyrosine",3
"acetaminophen",2
"argatroban",2
"artesunate",2
"aviptadil",2
"bucillamine",2
"camphor",2
"curcumin",2
"fenofibrate",2
"folic",2
"maraviroc",2
"methadone",2
"mk-2206",2
"phosphorus",2
"sildenafil",2
"spermidine",2
"spermine",2
"telmisartan",2
"acetylcholine",1
"adamantane",1
"amodiaquine",1
"amoxicillin",1
"antipain",1
"arginine",1
"aripiprazole",1
"azelastine",1
"baricitinib",1
"benzodiazepine",1
"beraprost",1
"biotin",1
"boceprevir",1
"bromhexine",1
"cadmium",1
"calcitriol",1
"chloride ion",1
"chlorpromazine",1
"chromium",1
"ciclesonide",1
"clozapine",1
"colchicine",1
"crocin",1
"cyclosporine",1
"diazepam",1
"docetaxel",1
"formaldehyde",1
"forskolin",1
"fostamatinib",1
"glycine",1
"hyaluronic",1
"isavuconazole",1
"isosorbide",1
"l-lysine",1
"lamotrigine",1
"lidocaine",1
"masitinib",1
"megestrol",1
"megestrol acetate",1
"methyl salicylate",1
"methylprednisolone",1
"metronidazole",1
"mmda",1
"nafamostat",1
"naloxone",1
"nifuroxazide",1
"oseltamivir",1
"paclitaxel",1
"phenibut",1
"posaconazole",1
"potassium",1
"pralatrexate",1
"pregabalin",1
"promethazine",1
"pyronaridine",1
"rapamycin",1
"retinol",1
"sirolimus",1
"spironolactone",1
"taurine",1
"thymol",1
"tryptophan",1
"vardenafil",1
"venetoclax",1
"vincristine",1
"warfarin",1
