"Drug","03-01-2022"
"ivermectin",1731
"hydroxychloroquine",246
"taurine",146
"remdesivir",81
"fentanyl",59
"ritonavir",53
"clopidogrel",43
"quercetin",30
"prednisone",22
"vincristine",22
"midazolam",15
"metformin",10
"azithromycin",9
"dopamine",9
"niacin",9
"pyronaridine",9
"tempol",9
"fluvoxamine",8
"cytidine",7
"famotidine",7
"favipiravir",7
"ibuprofen",7
"methadone",7
"methotrexate",7
"talopram",7
"aviptadil",6
"cannabidiol",6
"ciclesonide",6
"nitazoxanide",6
"potassium",6
"actemra",5
"doxycycline",5
"iodide",5
"ketamine",5
"leronlimab",5
"potassium iodide",5
"upamostat",5
"naloxone",4
"thalidomide",4
"chloroquine",3
"cysteine",3
"dexamethasone",3
"ebselen",3
"maraviroc",3
"peramivir",3
"s-23",3
"baricitinib",2
"bucillamine",2
"folic",2
"kava",2
"mmda",2
"penicillin",2
"prednisolone",2
"tacrolimus",2
"acetylcholine",1
"amodiaquine",1
"angiotensin ii",1
"arginine",1
"articaine",1
"astaxanthin",1
"atenolol",1
"azathioprine",1
"azeliragon",1
"benzodiazepine",1
"berberine",1
"biotin",1
"boron",1
"camostat",1
"camphor",1
"carbamazepine",1
"chlorhexidine",1
"chlorine dioxide",1
"cholecalciferol",1
"clozapine",1
"cobicistat",1
"codeine",1
"colchicine",1
"dobutamine",1
"epigallocatechin",1
"fluoxetine",1
"formaldehyde",1
"forskolin",1
"gabapentin",1
"imodium",1
"larazotide",1
"lisinopril",1
"lopinavir",1
"megestrol",1
"megestrol acetate",1
"minoxidil",1
"mirin",1
"niclosamide",1
"norepinephrine",1
"perindopril",1
"pp-30",1
"propranolol",1
"quinine",1
"riboflavin",1
"ribose",1
"rizatriptan",1
"ryanodine",1
"sertraline",1
"simvastatin",1
"siponimod",1
"sphingosine",1
"spironolactone",1
"surufatinib",1
"thiamine",1
"thymol",1
"ticagrelor",1
"tocotrienol",1
"trazodone",1
"trehalose",1
"tromethamine",1
"uracil",1
"verapamil",1
