"Drug","01-09-2021"
"ivermectin",1425
"sarilumab",129
"dexamethasone",90
"remdesivir",82
"chloroquine",75
"baricitinib",70
"ibuprofen",29
"doxycycline",25
"leronlimab",25
"hydroxychloroquine",21
"cyproheptadine",20
"fentanyl",20
"thiamine",19
"ruxolitinib",17
"penicillin",13
"aviptadil",12
"calcifediol",12
"actemra",11
"azithromycin",11
"fluvoxamine",11
"quercetin",10
"potassium",9
"codeine",8
"methylprednisolone",8
"amphotericin b",7
"potassium chloride",7
"chlorine dioxide",6
"artemisinin",5
"chromium",5
"dopamine",5
"ketamine",5
"resveratrol",5
"amantadine",4
"amitriptyline",4
"lopinavir",4
"modafinil",4
"niacin",4
"oleandrin",4
"spironolactone",4
"talopram",4
"bromhexine",3
"famotidine",3
"methadone",3
"niclosamide",3
"prednisone",3
"thalidomide",3
"acetaminophen",2
"amoxicillin",2
"artesunate",2
"colchicine",2
"dextromethorphan",2
"ebselen",2
"epinephrine",2
"hydrocortisone",2
"methotrexate",2
"naproxen",2
"propofol",2
"quinine",2
"ribavirin",2
"ronnel",2
"warfarin",2
"acyclovir",1
"aldosterone",1
"ambroxol",1
"antipain",1
"apilimod",1
"argatroban",1
"artemether",1
"bucillamine",1
"budesonide",1
"buprenorphine",1
"cadmium",1
"camostat",1
"carvedilol",1
"catechin",1
"cholecalciferol",1
"ciclesonide",1
"ciprofloxacin",1
"clofoctol",1
"creatine",1
"dexmedetomidine",1
"dimercaprol",1
"doxylamine",1
"esmolol",1
"favilavir",1
"favipiravir",1
"flaviolin",1
"flucloxacillin",1
"folic",1
"formaldehyde",1
"fructose",1
"galidesivir",1
"gingerol",1
"hesperidin",1
"hydroxytyrosol",1
"hydroxyzine",1
"indole",1
"itraconazole",1
"kava",1
"levodopa",1
"levothyroxine",1
"lidocaine",1
"loratadine",1
"magnesium citrate",1
"maraviroc",1
"megestrol",1
"megestrol acetate",1
"methyldopa",1
"mirin",1
"omeprazole",1
"piperaquine",1
"prednisolone",1
"propranolol",1
"pyronaridine",1
"ribose",1
"ritonavir",1
"rubidium",1
"s-23",1
"sertraline",1
"thebacon",1
"triclosan",1
"trovafloxacin",1
"vanadium",1
"vancomycin",1
"vincristine",1
"vs-5584",1
