"Drug","12-13-2020"
"ivermectin",1665
"azithromycin",369
"hydroxychloroquine",281
"remdesivir",164
"niacin",145
"doxycycline",131
"bromhexine",101
"spironolactone",74
"quercetin",61
"baricitinib",55
"chloroquine",34
"dexamethasone",31
"aviptadil",28
"leronlimab",27
"icosapent",26
"icosapent ethyl",26
"naringenin",23
"ketamine",20
"ibuprofen",16
"fentanyl",15
"penicillin",14
"thalidomide",13
"fluvoxamine",12
"prednisone",12
"glutathione",11
"quinine",10
"oleandrin",9
"acyclovir",8
"chlorine dioxide",7
"favipiravir",7
"talopram",7
"naproxen",6
"thimerosal",6
"budesonide",5
"codeine",5
"colchicine",5
"dopamine",5
"formaldehyde",5
"lopinavir",5
"ropivacaine",5
"sphingosine",5
"fructose",4
"ifenprodil",4
"indole",4
"metformin",4
"methotrexate",4
"apremilast",3
"dextromethorphan",3
"epinephrine",3
"fenfluramine",3
"fluoxetine",3
"glyphosate",3
"guaifenesin",3
"oseltamivir",3
"prednisolone",3
"ritonavir",3
"squalene",3
"triptorelin",3
"vincristine",3
"ambroxol",2
"artemisinin",2
"astaxanthin",2
"bucillamine",2
"calcium chloride",2
"famotidine",2
"flavanone",2
"hydroquinone",2
"imatinib",2
"lidocaine",2
"mesalazine",2
"naloxone",2
"phosphorus",2
"potassium",2
"potassium chloride",2
"proline",2
"s-23",2
"tramadol",2
"warfarin",2
"acetaminophen",1
"acitretin",1
"adenosine",1
"amphetamine",1
"anandamide",1
"angiotensin ii",1
"aniline",1
"antipain",1
"atenolol",1
"atracurium",1
"atropine",1
"azelastine",1
"bifenthrin",1
"biotin",1
"buprenorphine",1
"calcifediol",1
"cannabidiol",1
"catechin",1
"cetylpyridinium",1
"cholecalciferol",1
"clarithromycin",1
"cobalamin",1
"creatine",1
"creatinine",1
"cyclosporine",1
"cysteine",1
"daunorubicin",1
"diazepam",1
"diphenhydramine",1
"dipyridamole",1
"epigallocatechin",1
"erythromycin",1
"esketamine",1
"estradiol",1
"etoricoxib",1
"fexofenadine",1
"glycine",1
"hyaluronic",1
"jq1",1
"kava",1
"leflunomide",1
"losartan",1
"malic",1
"manganese",1
"megestrol",1
"megestrol acetate",1
"methadone",1
"methylprednisolone",1
"mirin",1
"mmda",1
"neodymium",1
"nifedipine",1
"nitazoxanide",1
"olanzapine",1
"oxycodone",1
"phenoxyethanol",1
"pidotimod",1
"progesterone",1
"protoporphyrin",1
"ranitidine",1
"riboflavin",1
"ronnel",1
"sertraline",1
"sulfonamides",1
"titanium dioxide",1
"tucatinib",1
"valsartan",1
"verapamil",1
"xanthine",1
