"Drug","04-07-2022"
"ivermectin",1244
"dexamethasone",717
"fentanyl",244
"fluvoxamine",117
"hydroxychloroquine",77
"midazolam",61
"clozapine",47
"thalidomide",17
"quercetin",16
"ibuprofen",13
"niacin",13
"budesonide",12
"alanine",10
"naloxone",8
"ketamine",7
"biotin",6
"clopidogrel",6
"colchicine",6
"methadone",6
"ritonavir",6
"thiamine",6
"azithromycin",5
"chloroquine",5
"buprenorphine",4
"codeine",4
"metformin",4
"naltrexone",4
"pravastatin",4
"prednisone",4
"quinine",4
"taurine",4
"up5",4
"warfarin",4
"atorvastatin",3
"famotidine",3
"fenofibrate",3
"fluoxetine",3
"ivabradine",3
"talopram",3
"tryptophan",3
"vincristine",3
"activated charcoal",2
"cysteine",2
"fludrocortisone",2
"fructose",2
"niclosamide",2
"propofol",2
"rutin",2
"sofosbuvir",2
"urea",2
"acetylcholine",1
"acyclovir",1
"ambroxol",1
"amoxicillin",1
"apixaban",1
"azelastine",1
"betamethasone",1
"boceprevir",1
"boron",1
"bromhexine",1
"cannabidiol",1
"carvedilol",1
"cefuroxime",1
"cimetidine",1
"creatine",1
"cyclobenzaprine",1
"diltiazem",1
"diphenhydramine",1
"dopamine",1
"doxazosin",1
"doxycycline",1
"duloxetine",1
"epinephrine",1
"fexofenadine",1
"fisetin",1
"glyphosate",1
"imatinib",1
"inulin",1
"kanamycin",1
"lansoprazole",1
"leflunomide",1
"lisinopril",1
"lopinavir",1
"lorazepam",1
"manganese",1
"maraviroc",1
"mebendazole",1
"megestrol acetate",1
"methylprednisolone",1
"montelukast",1
"olanzapine",1
"oxycodone",1
"phenol",1
"prednisolone",1
"proline",1
"pseudoephedrine",1
"pyrantel",1
"quetiapine",1
"rabeximod",1
"resveratrol",1
"risperidone",1
"rizatriptan",1
"s-23",1
"salbutamol",1
"sertraline",1
"sirolimus",1
"theophylline",1
"tofacitinib",1
"uridine",1
