"Drug","09-13-2021"
"ivermectin",16846
"hydroxychloroquine",853
"remdesivir",478
"penicillin",388
"quercetin",178
"dexamethasone",109
"fentanyl",77
"budesonide",71
"baricitinib",51
"chloroquine",45
"midazolam",43
"artemisinin",39
"fluvoxamine",38
"ibuprofen",37
"favipiravir",33
"calcitriol",32
"thalidomide",32
"azithromycin",31
"glutathione",30
"ciclesonide",26
"sarilumab",25
"leronlimab",22
"ketamine",21
"niacin",19
"prednisone",17
"probenecid",12
"vincristine",11
"naloxone",10
"dopamine",9
"doxycycline",9
"titanium dioxide",9
"cysteine",8
"dapagliflozin",8
"dasatinib",8
"famotidine",8
"navitoclax",8
"quinine",8
"asparagine",7
"tempol",7
"thiamine",7
"carnosine",6
"curcumin",6
"fenofibrate",6
"fluticasone",6
"mmda",6
"strychnine",6
"telmisartan",6
"acetylcysteine",5
"cyproheptadine",5
"formaldehyde",5
"inositol",5
"potassium",5
"resveratrol",5
"acetaminophen",4
"amoxicillin",4
"amphotericin b",4
"artesunate",4
"aviptadil",4
"bucillamine",4
"chlorine dioxide",4
"metformin",4
"methadone",4
"nicotinamide",4
"tryptophan",4
"amitriptyline",3
"astaxanthin",3
"berberine",3
"camostat",3
"isoquercetin",3
"lopinavir",3
"mercurochrome",3
"methotrexate",3
"metoprolol",3
"oxycodone",3
"pyronaridine",3
"ritonavir",3
"squalene",3
"upamostat",3
"warfarin",3
"acepromazine",2
"arginine",2
"bromhexine",2
"calcifediol",2
"camphor",2
"cannabidiol",2
"cannabinol",2
"cetylpyridinium",2
"chlorhexidine",2
"codeine",2
"diazepam",2
"enzalutamide",2
"estradiol",2
"fostamatinib",2
"gabapentin",2
"glycine",2
"glyphosate",2
"hydrocortisone",2
"masitinib",2
"methylprednisolone",2
"prednisolone",2
"proline",2
"propranolol",2
"ribavirin",2
"risperidone",2
"s-23",2
"sertraline",2
"suramin",2
"tromethamine",2
"actemra",1
"amifostine",1
"aspartame",1
"atorvastatin",1
"azelastine",1
"betamethasone",1
"biotin",1
"bradykinin",1
"brimonidine",1
"buprenorphine",1
"cadmium",1
"cangrelor",1
"capsaicin",1
"chlorambucil",1
"clenbuterol",1
"clindamycin",1
"clobetasol",1
"clopidogrel",1
"colchicine",1
"creatinine",1
"cysteamine",1
"dacarbazine",1
"dexmedetomidine",1
"dextromethorphan",1
"dipyridamole",1
"disulfiram",1
"erythromycin",1
"finasteride",1
"fluoxetine",1
"forskolin",1
"fructose",1
"hydroxyzine",1
"hypochlorous",1
"imodium",1
"indole",1
"iodide",1
"l-lysine",1
"lidocaine",1
"megestrol",1
"megestrol acetate",1
"methylprednisone",1
"montelukast",1
"moxidectin",1
"nafamostat",1
"naproxen",1
"neodymium",1
"nitroglycerin",1
"olanzapine",1
"oleandrin",1
"pentoxifylline",1
"phenylalanine",1
"phenylbutazone",1
"phosphorus",1
"ponatinib",1
"potassium iodide",1
"prasugrel",1
"promethazine",1
"propofol",1
"pterostilbene",1
"ranitidine",1
"rutin",1
"sinensetin",1
"sodium oxybate",1
"talopram",1
"thimerosal",1
"ticagrelor",1
"ticlopidine",1
"tofacitinib",1
"up5",1
"urea",1
"uridine",1
"vancomycin",1
