"Drug","11-10-2020"
"hydroxychloroquine",1456
"thalidomide",273
"leronlimab",169
"remdesivir",140
"ivermectin",79
"azithromycin",59
"chloroquine",44
"dopamine",41
"acetylcysteine",39
"glutathione",35
"baricitinib",31
"dexamethasone",25
"naloxone",23
"s-23",20
"favipiravir",18
"fentanyl",18
"doxycycline",16
"ibuprofen",16
"cabotegravir",15
"quercetin",14
"aviptadil",12
"quinine",12
"ketamine",11
"phenylalanine",11
"squalene",9
"raloxifene",8
"bucillamine",7
"budesonide",7
"codeine",7
"colchicine",7
"warfarin",6
"angiotensin ii",5
"bradykinin",5
"lopinavir",5
"prednisone",5
"ritonavir",5
"talopram",5
"tryptophan",5
"calcifediol",4
"calcium phosphate",4
"cannabidiol",4
"formaldehyde",4
"penicillin",4
"potassium",4
"rhein",4
"tenofovir",4
"thymol",4
"vanadium",4
"vincristine",4
"acetaminophen",3
"atropine",3
"bromhexine",3
"cadmium",3
"fructose",3
"glycine",3
"hydroxyproline",3
"ifenprodil",3
"nadide",3
"nitazoxanide",3
"oleandrin",3
"propofol",3
"resveratrol",3
"amoxicillin",2
"anandamide",2
"artesunate",2
"benzodiazepine",2
"biotin",2
"daclatasvir",2
"dantrolene",2
"doxorubicin",2
"forskolin",2
"fostamatinib",2
"glyphosate",2
"kava",2
"methadone",2
"nicotinamide",2
"niobium",2
"phosphorus",2
"prednisolone",2
"ribavirin",2
"sofosbuvir",2
"spironolactone",2
"thiamine",2
"thimerosal",2
"toluene",2
"acetazolamide",1
"acetylcholine",1
"actemra",1
"adenine",1
"aldosterone",1
"alprazolam",1
"amantadine",1
"amlodipine",1
"antimony",1
"apigenin",1
"aspartame",1
"astaxanthin",1
"baclofen",1
"baloxavir marboxil",1
"baloxavir-marboxil",1
"benfotiamine",1
"berberine",1
"cafedrine",1
"catechin",1
"cefdinir",1
"chlorhexidine",1
"chlorine dioxide",1
"choline",1
"chromium",1
"citalopram",1
"clarithromycin",1
"clobazam",1
"clonazepam",1
"clotrimazole",1
"curcumin",1
"cyclosporine",1
"diazepam",1
"duvelisib",1
"epigallocatechin",1
"estradiol",1
"etrasimod",1
"folic",1
"gadolinium",1
"galidesivir",1
"gemcitabine",1
"hydrocortisone",1
"hydroxyzine",1
"hypochlorous",1
"imidazole",1
"iodide",1
"isoquinoline",1
"l-lysine",1
"levamisole",1
"levetiracetam",1
"losartan",1
"lycopene",1
"manganese",1
"methotrexate",1
"methoxyflurane",1
"methylprednisolone",1
"metronidazole",1
"mmda",1
"modafinil",1
"nafamostat",1
"nikkomycin",1
"olanzapine",1
"oxaliplatin",1
"paclitaxel",1
"pacritinib",1
"palbociclib",1
"plitidepsin",1
"quetiapine",1
"reichstein",1
"retinol",1
"rocuronium",1
"salbutamol",1
"sildenafil",1
"sitagliptin",1
"strontium chloride",1
"sulfasalazine",1
"suramin",1
"tamoxifen",1
"tamoxifen citrate",1
"tavapadon",1
"tramadol",1
"valine",1
"vancomycin",1
"ziprasidone",1
