"Drug","03-24-2021"
"ivermectin",2271
"oxymetazoline",789
"hydroxychloroquine",481
"chloroquine",112
"azithromycin",94
"dexamethasone",63
"leronlimab",57
"clofazimine",48
"bromhexine",46
"remdesivir",42
"ibuprofen",39
"bucillamine",37
"fentanyl",36
"fluvoxamine",23
"acetaminophen",21
"progesterone",20
"rapamycin",16
"quercetin",14
"mmda",12
"prednisone",11
"s-23",11
"bedaquiline",10
"delamanid",10
"metformin",8
"telaprevir",8
"calcifediol",7
"famotidine",7
"penicillin",7
"pp-30",7
"proline",7
"thalidomide",7
"budesonide",6
"methylprednisolone",6
"niacin",6
"allicin",5
"favipiravir",5
"activated charcoal",4
"berberine",4
"camostat",4
"cannabidiol",4
"epinephrine",4
"ketamine",4
"niclosamide",4
"potassium",4
"sarilumab",4
"baricitinib",3
"colchicine",3
"doxycycline",3
"estradiol",3
"forskolin",3
"gemcabene",3
"pyronaridine",3
"semaglutide",3
"venetoclax",3
"aviptadil",2
"baclofen",2
"berzosertib",2
"clomipramine",2
"clopidogrel",2
"clozapine",2
"dopamine",2
"formaldehyde",2
"fostamatinib",2
"glycine",2
"hyaluronic",2
"iloprost",2
"malic",2
"metoprolol",2
"mometasone",2
"naloxone",2
"naltrexone",2
"omeprazole",2
"propofol",2
"quinacrine",2
"retinol",2
"sertraline",2
"sodium ascorbate",2
"sumatriptan",2
"tilorone",2
"trenbolone",2
"warfarin",2
"ambroxol",1
"amitriptyline",1
"amphetamine",1
"amprenavir",1
"antipain",1
"apixaban",1
"artemisinin",1
"artesunate",1
"atorvastatin",1
"atropine",1
"beta carotene",1
"butylamine",1
"ceftriaxone",1
"cesium",1
"cetirizine",1
"chlorhexidine",1
"chlorine dioxide",1
"citalopram",1
"codeine",1
"creatine",1
"crocin",1
"curcumin",1
"daclatasvir",1
"datp",1
"daunorubicin",1
"digoxin",1
"diphenhydramine",1
"enalaprilat",1
"ephedrine",1
"eucalyptol",1
"finasteride",1
"fructose",1
"gentamicin",1
"gingerol",1
"glutathione",1
"halofuginone",1
"hydrocortisone",1
"hydromorphone",1
"imipramine",1
"itraconazole",1
"levothyroxine",1
"lidocaine",1
"lopinavir",1
"maraviroc",1
"methadone",1
"ml-9",1
"mt-21",1
"naproxen",1
"nitroglycerin",1
"nitrous oxide",1
"nitrous-oxide",1
"oleandrin",1
"oseltamivir",1
"piclidenoson",1
"pimozide",1
"pioglitazone",1
"plerixafor",1
"procaine",1
"promethazine",1
"ractopamine",1
"reboxetine",1
"resveratrol",1
"rhein",1
"riboflavin",1
"rifampicin",1
"sofosbuvir",1
"sorbitol",1
"talopram",1
"tamoxifen",1
"taurine",1
"tramadol",1
